item_id,name,mass_kg,policy,route_decision,material_before,material,primary_process_id,decomposition_action,process_risk_level,process_risk_type,process_risk_reason,item_path
ebf3_adc_converter_board,EBF3 adc converter board,0.4,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_adc_converter_board.yaml
ebf3_adc_module_connector_set,EBF3 adc module connector set,0.1,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_adc_module_connector_set.yaml
ebf3_adc_module_shield,EBF3 adc module shield,0.1,local_nominal,lunar_candidate,steel,steel,sheet_metal_cutting_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_adc_module_shield.yaml
ebf3_analog_input_protection_front_end,EBF3 analog input protection front end,0.2,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_analog_input_protection_front_end.yaml
ebf3_anti_wear_guide_holder,EBF3 anti wear guide holder,0.03,sensitivity_flag,lunar_candidate_flagged,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_anti_wear_guide_holder.yaml
ebf3_anti_wear_guide_insert,EBF3 anti wear guide insert,0.07,sensitivity_flag,lunar_candidate_flagged,ceramic,ceramic,ceramic_forming_basic_v0,no_material_change,medium,ceramic_forming_sintering_qa,"Ceramic feedstock and forming are plausible, but shrinkage, density, finish, and inspection remain sensitivity items.",kb/items/parts/ebf3_anti_wear_guide_insert.yaml
ebf3_aux_dc_converter_module_set,EBF3 aux dc converter module set,2.0,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_aux_dc_converter_module_set.yaml
ebf3_aux_dc_distribution_terminal_set,EBF3 aux dc distribution terminal set,0.7,import_nominal,earth_import,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_aux_dc_distribution_terminal_set.yaml
ebf3_aux_dc_filter_capacitor_set,EBF3 aux dc filter capacitor set,0.8,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_aux_dc_filter_capacitor_set.yaml
ebf3_axis_home_sensor_body_set,EBF3 axis home sensor body set,0.14,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_axis_home_sensor_body_set.yaml
ebf3_axis_home_sensor_lead_set,EBF3 axis home sensor lead set,0.08,import_nominal,earth_import,composite,composite,import_receiving_basic_v0,keep_as_complex_import_or_defer,high,unresolved_material_system,Composite label remains unresolved; item needs BOM decomposition or import treatment.,kb/items/parts/ebf3_axis_home_sensor_lead_set.yaml
ebf3_axis_home_sensor_target_set,EBF3 axis home sensor target set,0.08,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_axis_home_sensor_target_set.yaml
ebf3_axis_limit_switch_actuator_set,EBF3 axis limit switch actuator set,0.05,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_axis_limit_switch_actuator_set.yaml
ebf3_axis_limit_switch_body_set,EBF3 axis limit switch body set,0.1,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_axis_limit_switch_body_set.yaml
ebf3_axis_limit_switch_lead_set,EBF3 axis limit switch lead set,0.05,import_nominal,earth_import,composite,composite,import_receiving_basic_v0,keep_as_complex_import_or_defer,high,unresolved_material_system,Composite label remains unresolved; item needs BOM decomposition or import treatment.,kb/items/parts/ebf3_axis_limit_switch_lead_set.yaml
ebf3_axis_motor_body_set,EBF3 axis motor body set,3.2,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_axis_motor_body_set.yaml
ebf3_axis_motor_housing_set,EBF3 axis motor housing set,1.0,local_nominal,lunar_candidate,steel,steel,motor_housing_casting_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_axis_motor_housing_set.yaml
ebf3_axis_motor_lead_set,EBF3 axis motor lead set,0.8,import_nominal,earth_import,composite,composite,import_receiving_basic_v0,keep_as_complex_import_or_defer,high,unresolved_material_system,Composite label remains unresolved; item needs BOM decomposition or import treatment.,kb/items/parts/ebf3_axis_motor_lead_set.yaml
ebf3_axis_motor_mounting_feature_set,EBF3 axis motor mounting feature set,1.0,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_axis_motor_mounting_feature_set.yaml
ebf3_ball_nut_body_set,EBF3 ball nut body set,1.1,import_until_gap_resolved,route_gap,bearing_steel,bearing_steel,ball_screw_fabrication_v0,no_material_change,high,precision_heat_treat_metrology,"Base steel may be lunar-plausible, but heat treatment, grinding, fatigue, preload, lubrication, and metrology are not closed.",kb/items/parts/ebf3_ball_nut_body_set.yaml
ebf3_ball_nut_recirculation_insert_set,EBF3 ball nut recirculation insert set,0.3,import_until_gap_resolved,route_gap,steel,steel,ball_screw_fabrication_v0,no_material_change,high,precision_heat_treat_metrology,"Base steel may be lunar-plausible, but heat treatment, grinding, fatigue, preload, lubrication, and metrology are not closed.",kb/items/parts/ebf3_ball_nut_recirculation_insert_set.yaml
ebf3_ball_nut_rolling_ball_set,EBF3 ball nut rolling ball set,0.45,import_until_gap_resolved,route_gap,bearing_steel,bearing_steel,bearing_set_heavy_production_v0,no_material_change,high,precision_heat_treat_metrology,"Base steel may be lunar-plausible, but heat treatment, grinding, fatigue, preload, lubrication, and metrology are not closed.",kb/items/parts/ebf3_ball_nut_rolling_ball_set.yaml
ebf3_ball_nut_wiper_or_seal_set,EBF3 ball nut wiper or seal set,0.15,import_nominal,earth_import,polymer,vacuum_polymer_or_elastomer,none,updated_material,high,polymer_or_special_chemistry,"Polymer, elastomer, oil, TIM, and friction materials depend on organics/special chemistry and vacuum/HV qualification.",kb/items/parts/ebf3_ball_nut_wiper_or_seal_set.yaml
ebf3_beam_current_return_fastener_interface_set,EBF3 beam current return fastener interface set,0.06,sensitivity_flag,lunar_candidate_flagged,steel,steel,fastener_kit_small_fabrication_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_beam_current_return_fastener_interface_set.yaml
ebf3_beam_current_return_flexible_conductor,EBF3 beam current return flexible conductor,0.32,import_until_gap_resolved,route_gap,aluminum,aluminum,metal_wire_drawing_process_v0,no_material_change,medium_high,electrical_conductor_route,Conductor material is plausible only with drawing/insulation/termination/field or vacuum electrical tests; copper is import/recycle constrained.,kb/items/parts/ebf3_beam_current_return_flexible_conductor.yaml
ebf3_beam_current_return_lug_set,EBF3 beam current return lug set,0.12,sensitivity_flag,lunar_candidate_flagged,aluminum,aluminum,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_beam_current_return_lug_set.yaml
ebf3_bias_supply_converter_board,EBF3 bias supply converter board,1.1,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_bias_supply_converter_board.yaml
ebf3_bias_supply_hv_output_filter,EBF3 bias supply hv output filter,0.7,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_bias_supply_hv_output_filter.yaml
ebf3_bias_supply_terminal_set,EBF3 bias supply terminal set,0.3,import_nominal,import_as_leaf,electronic,electronic,import_receiving_basic_v0,keep_as_complex_import_or_defer,very_high,import_as_complex_item,"Electronics/software are not decomposed into semiconductor, PCB, passives, and packaging routes; keep import unless explicitly decomposed.",kb/items/parts/ebf3_bias_supply_terminal_set.yaml
ebf3_cabin_access_door_hinge_bushing_or_bearing_set,EBF3 cabin access door hinge bushing or bearing set,0.5,import_until_gap_resolved,route_gap,bearing_steel,bearing_steel,machining_basic_v0,no_material_change,high,precision_heat_treat_metrology,"Base steel may be lunar-plausible, but heat treatment, grinding, fatigue, preload, lubrication, and metrology are not closed.",kb/items/parts/ebf3_cabin_access_door_hinge_bushing_or_bearing_set.yaml
ebf3_cabin_access_door_hinge_fastener_interface_set,EBF3 cabin access door hinge fastener interface set,0.7,sensitivity_flag,lunar_candidate_flagged,steel,steel,fastener_kit_small_fabrication_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_access_door_hinge_fastener_interface_set.yaml
ebf3_cabin_access_door_hinge_leaf_or_bracket_set,EBF3 cabin access door hinge leaf or bracket set,0.9,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_access_door_hinge_leaf_or_bracket_set.yaml
ebf3_cabin_access_door_hinge_pin_or_shaft_set,EBF3 cabin access door hinge pin or shaft set,0.4,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_access_door_hinge_pin_or_shaft_set.yaml
ebf3_cabin_access_door_latch_fastener_interface_set,EBF3 cabin access door latch fastener interface set,0.5,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_access_door_latch_fastener_interface_set.yaml
ebf3_cabin_access_door_latch_handle_or_cam_set,EBF3 cabin access door latch handle or cam set,0.6,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_access_door_latch_handle_or_cam_set.yaml
ebf3_cabin_access_door_latch_pivot_axle_set,EBF3 cabin access door latch pivot axle set,0.4,sensitivity_flag,lunar_candidate_flagged,steel,steel,steel_shaft_machining_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_access_door_latch_pivot_axle_set.yaml
ebf3_cabin_access_door_latch_return_spring_set,EBF3 cabin access door latch return spring set,0.2,import_until_gap_resolved,route_gap,spring_steel,spring_steel,heat_treat_basic_v0,no_material_change,high,precision_heat_treat_metrology,"Base steel may be lunar-plausible, but heat treatment, grinding, fatigue, preload, lubrication, and metrology are not closed.",kb/items/parts/ebf3_cabin_access_door_latch_return_spring_set.yaml
ebf3_cabin_access_door_latch_strike_or_bar_set,EBF3 cabin access door latch strike or bar set,0.8,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_access_door_latch_strike_or_bar_set.yaml
ebf3_cabin_access_door_panel,EBF3 cabin access door panel,13.0,import_until_gap_resolved,route_gap,steel,steel,sheet_metal_cutting_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_access_door_panel.yaml
ebf3_cabin_access_door_vacuum_seal,EBF3 cabin access door vacuum seal,2.0,import_until_gap_resolved,route_gap,polymer,vacuum_elastomer_or_metal_gasket,vacuum_seal_assembly_fabrication_v0,updated_material,high,polymer_or_special_chemistry,"Polymer, elastomer, oil, TIM, and friction materials depend on organics/special chemistry and vacuum/HV qualification.",kb/items/parts/ebf3_cabin_access_door_vacuum_seal.yaml
ebf3_cabin_frame_corner_gusset_set,EBF3 cabin frame corner gusset set,7.0,sensitivity_flag,lunar_candidate_flagged,steel,steel,sheet_metal_fabrication_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_cabin_frame_corner_gusset_set.yaml
ebf3_cabin_frame_member_set,EBF3 cabin frame member set,24.0,sensitivity_flag,lunar_candidate_flagged,steel,steel,steel_bar_stock_rolling_shop_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_cabin_frame_member_set.yaml
ebf3_cabin_frame_mounting_foot_set,EBF3 cabin frame mounting foot set,4.0,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_cabin_frame_mounting_foot_set.yaml
ebf3_cabin_gun_port_flange_ring,EBF3 cabin gun port flange ring,5.0,sensitivity_flag,lunar_candidate_flagged,steel,steel,machining_basic_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_gun_port_flange_ring.yaml
ebf3_cabin_gun_port_reinforcement_ring,EBF3 cabin gun port reinforcement ring,3.0,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_gun_port_reinforcement_ring.yaml
ebf3_cabin_lighting_port_frame,EBF3 cabin lighting port frame,30.0,import_until_gap_resolved,route_gap,steel,steel,steel_bar_stock_rolling_shop_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_lighting_port_frame.yaml
ebf3_cabin_lighting_shield_mount,EBF3 cabin lighting shield mount,12.08,local_nominal,lunar_candidate,steel,steel,sheet_metal_cutting_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_cabin_lighting_shield_mount.yaml
ebf3_cabin_positioning_floor_mount_plate,EBF3 cabin positioning floor mount plate,12.0,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_cabin_positioning_floor_mount_plate.yaml
ebf3_cabin_positioning_leveling_pad_set,EBF3 cabin positioning leveling pad set,3.0,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_cabin_positioning_leveling_pad_set.yaml
ebf3_cabin_sacrificial_liner_panel_set,EBF3 cabin sacrificial liner panel set,10.0,sensitivity_flag,lunar_candidate_flagged,steel,steel,sheet_metal_cutting_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_cabin_sacrificial_liner_panel_set.yaml
ebf3_cabin_sacrificial_liner_retainer_set,EBF3 cabin sacrificial liner retainer set,2.0,local_nominal,lunar_candidate,steel,steel,machining_basic_v0,no_material_change,low,ordinary_metal_route,"Material and broad process route are plausible; remaining issues are geometry, stock form, and inspection detail.",kb/items/parts/ebf3_cabin_sacrificial_liner_retainer_set.yaml
ebf3_cabin_wall_panel_seam_set,EBF3 cabin wall panel seam set,3.0,import_until_gap_resolved,defer_split_import_fallback,composite,steel,import_receiving_basic_v0,updated_material,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_wall_panel_seam_set.yaml
ebf3_cabin_wall_panel_set,EBF3 cabin wall panel set,34.0,import_until_gap_resolved,route_gap,steel,steel,sheet_metal_cutting_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_wall_panel_set.yaml
ebf3_cabin_wall_stiffener_set,EBF3 cabin wall stiffener set,8.0,sensitivity_flag,lunar_candidate_flagged,steel,steel,sheet_metal_cutting_v0,no_material_change,medium_high,structural_vacuum_qa,"Material is local-plausible, but leak/seal/surface/large-panel distortion qualification is not closed.",kb/items/parts/ebf3_cabin_wall_stiffener_set.yaml
