machine_id,file,bucket,priority,classification,recommendation_excerpt,confidence_excerpt
anvil_or_die_set,research/machines/anvil_or_die_set.md,"tooling/instrument/consumable resource",high,"real practical tooling set, not a standalone machine.","Keep the concept, but reclassify as tooling and deduplicate. Recommended future cleanup: - Decide whether `anvil_or_die_set` and `anvil_and_die_set` are the same item. - Keep `anvil_block_basic` for the heavy fixed anvil block if needed. - Model this item as interchangeable forging tooling, not a machine.",Confidence: high that the item is real and useful; high that it is tooling rather than a machine; medium on the correct mass and dedupe target.
assembly_tools_basic,research/machines/assembly_tools_basic.md,"tooling/instrument/consumable resource",high,"real tool/station bundle, not a single machine.","Keep the concept, but clarify it as an assembly station/tool bundle rather than a machine. Recommended future wording: ""basic assembly workstation and tool set."" If the KB wants only a hand-tool kit, consolidate with `hand_tools_basic`. If the KB wants assembly repeatability, keep this item and include torque tools, clamps/fixtures, ESD provisions, bins, power, and basic guided-assembly sensors.",Confidence: high that the concept is real; high that it is a tool/station bundle rather than a machine; medium on how much overlap with `hand_tools_basic` should remain.
ball_mill_v0,research/machines/ball_mill_v0.md,clear commercial/practical machine,low,Real practical machine.,Keep `ball_mill_v0` as a real medium-scale powder milling machine. Recommended refinements: - Define it as a rotary ball mill for wet/dry bulk comminution and powder homogenization. - Add grinding media as an explicit required consumable/tooling item for ball-milling processes or the ball mill BOM. - Keep it downstream of crushing; feed rocks generally need crushing before ball milling.,"Confidence: high that the item is real; high that the mass/BOM are plausible for a medium rotary mill; medium on whether all current powdering processes should use a ball mill versus crusher, hammer mill, attritor, or mixer."
blast_furnace_or_smelter,research/machines/blast_furnace_or_smelter.md,generic/ambiguous/duplicate needing cleanup,high,"Real practical machine category, but the current name conflates several different machines.","Keep as a temporary coarse smelting machine, but eventually split or rename. Recommended options: - Rename to `small_smelter_furnace_v0` if this represents a compact ore/scrap smelting furnace. - Use `blast_furnace` only for ironmaking from ore/coke/flux with blast air and slag tapping. - Use cupola/induction/electric arc/crucible furnaces for remelting or alloying, depending on process needs.","Confidence: high that the underlying machines are real; high that the current ""or"" item is too broad; medium on whether the KB can tolerate the abstraction for current iron smelting."
casting_furnace_v0,research/machines/casting_furnace_v0.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine family, but the current KB ID should remain deprecated/consolidated.","Recommendation: real machine category, but replace or keep deprecated in favor of `furnace_basic`. Specific recommendation: - Do not treat `casting_furnace_v0` as a fake or placeholder. - Do treat it as over-specific or duplicate if `furnace_basic` is intended to absorb generic small furnace functions.",Confidence: high that casting furnaces are real; high that this specific KB item is deprecated/duplicative based on local docs.
casting_mold_set,research/machines/casting_mold_set.md,"tooling/instrument/consumable resource",high,"Real practical tooling set, not a standalone machine.","Keep the item as foundry tooling, but narrow its meaning. Recommended options: - Treat `casting_mold_set` as a generic foundry mold tooling kit, not a universal set of molds for all geometries. - Keep `sand_casting_flask_set` separate as reusable sand-casting support equipment. - Add part-specific patterns/molds only when a casting process depends on a dedicated geometry, such as motor housings, machine frames, or complex fluid parts.",Confidence: high that casting molds/flasks/pattern tooling are real; medium that one generic 100 kg set can cover the current wide range of casting processes without hiding part-specific tooling.
cement_mixer_small,research/machines/cement_mixer_small.md,clear commercial/practical machine,low,real practical machine.,"Keep `cement_mixer_small` as a real practical machine. Recommended cleanup when KB edits are allowed: - Clarify whether this is a small portable concrete mixer, refractory mortar mixer, or ruggedized small industrial mixer. - If the intent is a common portable 100-150 L mixer, consider reviewing the 309.5 kg mass; many commercial portable mixers are much lighter. If the intent is a conservative industrial/refractory mixer, document that assumption in the item notes.",Confidence: high that the machine is real and useful for the modeled function.
chemical_reactor_basic,research/machines/chemical_reactor_basic.md,generic/ambiguous/duplicate needing cleanup,high,"Real practical machine category, but broad.","Keep `chemical_reactor_basic` as a real coarse machine, but narrow its implied service envelope. Recommended options: - Define it as a small stirred/jacketed batch or semi-batch reactor, not a universal chemical plant. - Use `chemical_reactor_basic` where the process needs moderate temperature, mixing, gas ports, and ordinary steel/stainless compatibility.",Confidence: high that the machine category is real and useful; medium that it is adequate for all current KB processes.
chemical_reactor_vessel_v0,research/machines/chemical_reactor_vessel_v0.md,"subsystem/station/infrastructure, not single machine",medium,"Real practical equipment component, but not a complete machine.","Keep the item, but make its component role explicit. Recommended options: - Reclassify or annotate as `reactor_vessel_subassembly` or `chemical_reactor_vessel_shell` if schema support allows. - Avoid using it directly as a process machine unless the process only needs a passive vessel; most reactions should require `chemical_reactor_basic`, `generic_chemical_reactor_v0`, or a more specific reactor unit.","Confidence: high that reactor vessels are real and that this item is better modeled as a component than a full machine; medium on the current 120 kg mass because volume, pressure rating, and material are not specified."
chemical_separation_equipment,research/machines/chemical_separation_equipment.md,"subsystem/station/infrastructure, not single machine",medium,"real practical equipment category / modular skid, not a single specific machine.","Keep the item only as an explicitly generic modular chemical separation skid. Recommended cleanup when KB edits are allowed: - Rename display name to ""Modular hydrometallurgy separation skid"" or ""Chemical separation skid"" to make the bundle nature explicit. - Add notes that this is a coarse placeholder for a process train, not one universal machine.","Confidence: medium-high. The equipment class is real, but the KB ID is broad."
cnc_mill,research/machines/cnc_mill.md,clear commercial/practical machine,low,real practical machine.,"Keep `cnc_mill` as the canonical milling machine. The current ID is realistic and correctly useful. Consider documenting the mass as compact-shop scale, not a full production machining center. Do not split by 3-axis versus 5-axis yet; the KB can use process notes or capability tags unless a specific process requires true 5-axis simultaneous machining.",Confidence: high that this is a real practical machine and a good canonical KB item.
coil_winding_machine,research/machines/coil_winding_machine.md,clear commercial/practical machine,low,real practical machine.,"Keep the item. Recommended clarification: define it as a generic semi-automatic coil winder for motors, transformers, inductors, solenoids, relays, and heating coils. Preserve tension control and turn counting as core features. Future cleanup: - Normalize references that point to `coil_winding_machine_v0` if `coil_winding_machine` is the intended current ID.",Confidence: high that the machine is real and that the KB abstraction is appropriate.
control_compute_module_imported,research/machines/control_compute_module_imported.md,generic/ambiguous/duplicate needing cleanup,high,real practical imported electronics module / broad category.,"Keep as a real imported boundary component, but make the scope explicit. Recommended cleanup when KB edits are allowed: - Keep `control_compute_module_imported` as an import boundary for early phases. - Consider renaming display name to ""Imported industrial control module"" if it mainly means PLC/SBC control, or split if AI compute is different.",Confidence: high that this represents real equipment; high that import status is realistic for early phases.
controlled_atmosphere_chamber,research/machines/controlled_atmosphere_chamber.md,generic/ambiguous/duplicate needing cleanup,high,"Real practical equipment category, but broad and potentially overlapping.","Keep the item, but narrow its scope. Recommended direction: - Interpret `controlled_atmosphere_chamber` as a sealed process chamber/load-lock style subsystem with vacuum purge and inert/process gas manifold. - Do not use it as a synonym for a complete vacuum furnace, high-temperature furnace, glovebox, or inert gas supply system.","Confidence: high that the broad category is real; medium that the current KB item is scoped tightly enough; medium on 250 kg mass because it depends on chamber volume, pressure/vacuum rating, wall thickness, doors, hot-zone integration, and pump/gas hardware."
crucible_graphite,research/machines/crucible_graphite.md,"tooling/instrument/consumable resource",high,"Real practical crucible/tooling component, not a machine.","Keep `crucible_graphite`, but treat it as a crucible/tooling/consumable component. Recommended cleanup: - Reclassify from `kind: machine` to part/tooling/consumable if schema allows. - Preserve distinction from `crucible_refractory` and `crucible_ceramic_refractory`; graphite is not universally interchangeable with alumina, clay, silicon carbide, or fused silica.",Confidence: high that graphite crucibles are real and useful; high that the KB should not treat them as machines; medium on the 10 kg mass because size and capacity are unspecified.
crucible_refractory,research/machines/crucible_refractory.md,"tooling/instrument/consumable resource",high,"Real practical consumable/tooling item, not a standalone machine.","Keep the item, but reclassify it conceptually as consumable refractory ware or tooling. Recommended options: - Avoid presenting `crucible_refractory` as a machine. It is a replaceable container used by furnaces and casting operations. - Consolidate duplicate crucible names where possible under Conservative Mode. `crucible_refractory`, `crucible_ceramic_refractory`, and parts of `crucible_set` may overlap.",Confidence: high that refractory crucibles are real and necessary; high that the current item should not be treated as a standalone machine; medium on the 15 kg mass as a generic placeholder.
cutting_tools_general,research/machines/cutting_tools_general.md,"tooling/instrument/consumable resource",high,"real tooling category or kit, not a standalone machine.","Keep the concept, but reclassify and narrow it. Recommended future cleanup: - Rename display name to ""General cutting-tool kit"" or ""Machine cutting-tool inventory."" - Model it as tooling/consumables rather than a machine. - Split hand cutting tools from machine cutting tools if process realism matters.",Confidence: high that the category is real; high that it is not a machine; medium on how much splitting the KB needs.
dies,research/machines/dies.md,"tooling/instrument/consumable resource",high,"Real practical tooling set, but overly generic and not a standalone machine.","Keep the concept, but make it less generic. Recommended options: - Rename to `hot_press_die_set_basic` or `powder_pressing_die_set_basic` if its primary use remains `sintering_and_hot_pressing_v0`. - Change classification from `machine` to tooling/part if the schema supports it; if not, document that `kind: machine` is only a simulator capacity convention.","Confidence: high that the item represents real practical tooling; high that it is not a standalone machine; medium on whether 40 kg is appropriate because die mass depends on press capacity, part size, tool material, and whether it is a single die or a set."
drawing_die_set_basic,research/machines/drawing_die_set_basic.md,"tooling/instrument/consumable resource",high,real practical tooling set.,"Keep the item as real tooling, but consider consolidation and classification cleanup. Recommended cleanup when KB edits are allowed: - Compare `drawing_die_set_basic` with `wire_drawing_die_set`; they appear likely duplicate or near-duplicate under Conservative Mode. - Prefer a single canonical die-set ID unless the KB needs distinct die materials or size ranges.",Confidence: high that the item represents real practical tooling; medium that the current KB classification is the best one.
drill_press,research/machines/drill_press.md,clear commercial/practical machine,low,real practical machine.,Keep as a real machine. The current BOM and mass are realistic enough for a medium shop drill press. Recommended future cleanup is minor: ensure PCB drilling either uses this as a coarse manual drill press or a more precise PCB drill if hole sizes/tolerances require it. Keep field drilling separate under `drilling_equipment_v0`.,Confidence: high.
drilling_equipment_v0,research/machines/drilling_equipment_v0.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine category, but broad.","Keep the item, but clarify its name or notes. Recommended label: compact field drilling rig for polar regolith/ice access. The current name `drilling_equipment_v0` is broad enough to invite misuse. A clearer ID such as `field_drilling_rig_v0`, `polar_regolith_drill_rig_v0`, or `compact_core_drill_rig_v0` would better match the KB function. Do not replace it with a drill press or generic hand drill.",Confidence: high that this is a real practical equipment category; medium that the exact KB mass and capability are sufficient for polar ice-cemented regolith.
drying_basic_v0,research/machines/drying_basic_v0.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine category, but the KB entry is ambiguous and likely duplicative.","Keep the real-world concept, but consider consolidating or renaming. Best future cleanup recommendation: - Use `drying_oven` as the canonical machine for low-temperature drying/curing. - Keep `drying_basic_v0` as a process ID only, or rename the machine to something distinct such as `drying_chamber_large_v0` if the 370 kg larger-capacity chamber is genuinely needed.",Confidence: high that drying/curing ovens are real practical equipment; medium-low that `drying_basic_v0` should remain a separate machine from `drying_oven`.
drying_oven,research/machines/drying_oven.md,clear commercial/practical machine,low,real practical machine.,"Keep `drying_oven` as the canonical low-temperature drying and curing oven. Recommended cleanup when KB edits are allowed: - Continue using `drying_oven` for 50-300 C drying, stoving, and adhesive/coating cure. - Do not use it for high-temperature annealing, ceramic firing, sintering, or vacuum drying unless explicitly upgraded.",Confidence: high that the item is real and correctly modeled at coarse level.
dust_collection_system,research/machines/dust_collection_system.md,clear commercial/practical machine,low,real practical machine category.,"Keep the item as a real generic machine category. Recommended clarification: define it as a small industrial cyclone-plus-cartridge dust collection system for dusty mineral/regolith processing. If the KB later models high-throughput continuous mining, split larger equipment into `cyclone_preseparator`, `baghouse_or_cartridge_collector`, `industrial_blower`, and `ductwork_system`. For the current minimal self-reproduction list, the current combined system is realistic and avoids unnecessary item proliferation.",Confidence: high that the machine category is real and that the current BOM architecture is plausible.
electrodes,research/machines/electrodes.md,"tooling/instrument/consumable resource",high,"real practical item, but likely misclassified as a machine.","Do not keep `electrodes` as a machine long term. Recommended future cleanup: - Reclassify `electrodes` as a `part` or consumable tooling item, probably `graphite_electrode_set_v0`. - Keep it as an input or BOM component for MRE/FFC/electrolysis equipment. - Replace `machine_id: electrodes` resource requirements with the actual machine, such as `mre_reactor_v0` or `electrolysis_cell_unit_v0`, and list electrodes as inputs or consumable maintenance parts.",Confidence: high that electrodes are real and practical; high that they are misclassified as a machine; medium on the best replacement ID because the KB has several electrode concepts already.
electrolysis_cell_unit_v0,research/machines/electrolysis_cell_unit_v0.md,generic/ambiguous/duplicate needing cleanup,high,"real practical machine category, but currently over-generic and internally inconsistent.","Keep as a temporary placeholder, but mark as needing chemistry-specific interpretation. Recommended future cleanup: - Rename or document the current item as `generic_electrolysis_cell_placeholder_v0` if it is intended only for early closure/provenance demos. - Split real uses into at least three machine classes: `chloralkali_membrane_cell`, `aqueous_electrowinning_cell`, and `hall_heroult_reduction_cell`.",Confidence: high that electrolysis cells are real equipment; low-to-medium that this specific KB item is realistic for all current uses.
