batch_id,item_id,parent_ids,source_queue_type,mass_nominal_kg,mass_low_kg,mass_high_kg,unit,unit_kind,material_class,material_hint,material_alternates,material_note,performance_checks,existing_candidate,candidate_fit,candidate_note,architecture_assumption,item_path
route_batch_01,ebf3_adc_module_shield,ebf3_analog_input_adc_module,existing_route_as_leaf,0.1,0.04,0.25,unit,discrete,metal,steel,aluminum; refractory_foil,Radiation/HV shields may need refractory metal.,circuit function/rating,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_adc_module_shield.yaml
route_batch_02,ebf3_anti_wear_guide_holder,ebf3_anti_wear_guide,existing_route_as_leaf,0.03,0.012,0.075,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_anti_wear_guide_holder.yaml
route_batch_03,ebf3_anti_wear_guide_insert,ebf3_anti_wear_guide,existing_route_as_leaf,0.07,0.028,0.175,unit,discrete,ceramic,alumina_ceramic,porcelain; fused_silica,Select dielectric/thermal grade before recipe work.,motion tolerance/load/lubrication,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_anti_wear_guide_insert.yaml
route_batch_04,ebf3_axis_home_sensor_target_set,ebf3_axis_home_sensors,existing_route_as_leaf,0.08,0.032,0.2,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication; circuit function/rating,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_axis_home_sensor_target_set.yaml
route_batch_01,ebf3_axis_motor_housing_set,ebf3_axis_motors,existing_route_as_leaf,1,0.4,2.5,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,stepper_motor_precision,accuracy_risk,"Torque, vacuum compatibility, encoder, and insulation need review.",,kb/items/parts/ebf3_axis_motor_housing_set.yaml
route_batch_02,ebf3_axis_motor_mounting_feature_set,ebf3_axis_motors,existing_route_as_leaf,1,0.4,2.5,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,stepper_motor_precision,accuracy_risk,"Torque, vacuum compatibility, encoder, and insulation need review.",,kb/items/parts/ebf3_axis_motor_mounting_feature_set.yaml
route_batch_03,ebf3_axis_limit_switch_actuator_set,ebf3_axis_travel_limit_switches,existing_route_as_leaf,0.05,0.02,0.125,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,,none,No same-level existing KB candidate found by rule.,,kb/items/parts/ebf3_axis_limit_switch_actuator_set.yaml
route_batch_04,ebf3_ball_nut_body_set,ebf3_ball_nuts,existing_route_as_leaf,1.1,0.55,2.2,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,ball_screw_assembly,accuracy_risk,Ball-nut detail is part of screw-drive accuracy/lubrication review.,,kb/items/parts/ebf3_ball_nut_body_set.yaml
route_batch_01,ebf3_ball_nut_recirculation_insert_set,ebf3_ball_nuts,existing_route_as_leaf,0.3,0.15,0.6,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,ball_screw_assembly,accuracy_risk,Ball-nut detail is part of screw-drive accuracy/lubrication review.,,kb/items/parts/ebf3_ball_nut_recirculation_insert_set.yaml
route_batch_02,ebf3_ball_nut_rolling_ball_set,ebf3_ball_nuts,existing_route_as_leaf,0.45,0.225,0.9,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,basic function/material/scale,ball_screw_assembly,accuracy_risk,Ball-nut detail is part of screw-drive accuracy/lubrication review.,,kb/items/parts/ebf3_ball_nut_rolling_ball_set.yaml
route_batch_03,ebf3_ball_nut_wiper_or_seal_set,ebf3_ball_nuts,existing_route_as_leaf,0.15,0.0495,0.45,unit,discrete,polymer,silicone_rubber,metal_gasket,Vacuum/oil compatibility decides final material.,vacuum leak rate/outgassing,ball_screw_assembly,accuracy_risk,Ball-nut detail is part of screw-drive accuracy/lubrication review.,,kb/items/parts/ebf3_ball_nut_wiper_or_seal_set.yaml
route_batch_04,ebf3_x_axis_ball_screw_shaft,ebf3_ball_screw_shafts,existing_route_as_leaf,1,0.4,2.5,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication; stiffness/tolerance/interface fit,ball_screw_assembly,accuracy_risk,"Shaft/nut split, preload, and accuracy class need review.",,kb/items/parts/ebf3_x_axis_ball_screw_shaft.yaml
route_batch_01,ebf3_y_axis_ball_screw_shaft,ebf3_ball_screw_shafts,existing_route_as_leaf,1,0.4,2.5,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication; stiffness/tolerance/interface fit,ball_screw_assembly,accuracy_risk,"Shaft/nut split, preload, and accuracy class need review.",,kb/items/parts/ebf3_y_axis_ball_screw_shaft.yaml
route_batch_02,ebf3_z_axis_ball_screw_shaft,ebf3_ball_screw_shafts,existing_route_as_leaf,1,0.4,2.5,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication; stiffness/tolerance/interface fit,ball_screw_assembly,accuracy_risk,"Shaft/nut split, preload, and accuracy class need review.",,kb/items/parts/ebf3_z_axis_ball_screw_shaft.yaml
route_batch_03,ebf3_beam_current_return_fastener_interface_set,ebf3_beam_current_return_strap,existing_route_as_leaf,0.06,0.0198,0.18,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,electron-beam geometry/thermal stability,fastener_kit_medium,likely_reuse,Generic fastener kit is acceptable for non-precision interfaces.,,kb/items/parts/ebf3_beam_current_return_fastener_interface_set.yaml
