item_id,current_worker_decision,recommended_decision,reason,route_action,future_work_note
ebf3_axis_home_sensor_target_set,keep_flagged_local,local_nominal,Simple steel target geometry and basic repeatability are within multi-axis CNC machining and probing scope.,drop_issue,Keep sensor material compatibility and repeatability as a note only.
ebf3_axis_motor_mounting_feature_set,keep_flagged_local,local_nominal,Located holes faces slots and mounting geometry are CNC scope on local steel.,drop_issue,Track motor alignment preload and vibration as assembly acceptance notes.
ebf3_beam_current_return_lug_set,keep_flagged_local,keep_flagged_local,Machining the aluminum lug is local but contact resistance and beam-current heating are electrical performance risks.,keep_flag,Close current return contact area heating and fastening acceptance before promoting.
ebf3_cabin_access_door_hinge_bushing_or_bearing_set,keep_flagged_local,needs_new_process_chain,Part definition mixes a plain bushing that CNC can make with a rolling or sealed bearing that CNC does not close.,define_part_first,Split plain machined bushing from rolling or sealed bearing interpretation.
ebf3_cabin_access_door_hinge_leaf_or_bracket_set,keep_flagged_local,local_nominal,Hinge leaf and bracket geometry is ordinary local steel machining.,drop_issue,Leave door seal load and wear as nonblocking future acceptance notes.
ebf3_cabin_access_door_hinge_pin_or_shaft_set,keep_flagged_local,local_nominal,Pin and shaft turning plus finish are within CNC scope for local steel.,drop_issue,Track galling and hinge alignment as service-life notes.
ebf3_cabin_access_door_latch_fastener_interface_set,keep_flagged_local,local_nominal,Threaded and fastener interface features are covered by drilling tapping boring and probing.,drop_issue,Keep preload retention and seal compression checks as assembly notes.
ebf3_cabin_access_door_latch_handle_or_cam_set,keep_flagged_local,local_nominal,Cam and handle geometry is straightforward CNC metalwork.,drop_issue,Leave latch travel repeatability as future functional acceptance.
ebf3_cabin_access_door_latch_strike_or_bar_set,keep_flagged_local,local_nominal,Strike and bar faces holes and wear geometry are CNC scope without a separate material process.,drop_issue,Keep wear face and door alignment as notes.
ebf3_cabin_frame_mounting_foot_set,keep_flagged_local,local_nominal,Mounting feet require machined contact faces and bolt features that the CNC cell supports.,drop_issue,Track flatness and bolt alignment in assembly QA only.
ebf3_cabin_gun_port_flange_ring,keep_flagged_local,keep_flagged_local,The ring can be machined locally but it is a vacuum and electron-gun alignment boundary.,keep_flag,Promote only after seal-face leak and gun-port alignment acceptance are represented.
ebf3_cabin_gun_port_reinforcement_ring,keep_flagged_local,local_nominal,Reinforcement ring geometry is local CNC work and does not itself close or break the vacuum seal.,drop_issue,Keep port stiffness and alignment as design notes.
ebf3_cabin_positioning_floor_mount_plate,keep_flagged_local,local_nominal,Plate flatness datum holes and mounting faces are CNC and probing scope.,drop_issue,Leave datum stiffness and vacuum-environment finish as nonblocking notes.
ebf3_cabin_positioning_leveling_pad_set,keep_flagged_local,local_nominal,Leveling pads are simple machined steel contact parts.,drop_issue,Track load contact and datum repeatability in assembly acceptance.
ebf3_cabin_sacrificial_liner_retainer_set,keep_flagged_local,local_nominal,Retainer hardware is ordinary local metal machining.,drop_issue,Keep thermal cycling and vacuum exposure as maintenance notes.
ebf3_cabin_wire_feeder_port_flange_ring,keep_flagged_local,keep_flagged_local,Machined ring geometry is local but this is a feedthrough port vacuum seal interface.,keep_flag,Retain until leak-rate and feedthrough alignment assumptions are explicit.
ebf3_cabin_wire_feeder_port_reinforcement_ring,keep_flagged_local,local_nominal,Reinforcement geometry is CNC-local and not a standalone hermetic feedthrough process.,drop_issue,Keep port stiffness and alignment as notes.
ebf3_dc_link_busbar_set,keep_flagged_local,keep_flagged_local,Blanking drilling and edge finishing are CNC-local but current density clearance and heating affect power output.,keep_flag,Close electrical sizing contact resistance and insulation-clearance acceptance.
ebf3_dc_link_mounting_frame,keep_flagged_local,local_nominal,Frame holes faces and clearances are local CNC geometry.,drop_issue,Keep creepage spacing and stiffness as design review notes.
ebf3_drive_roll_cover_fastener_tab_set,keep_flagged_local,local_nominal,Small cover tabs are ordinary sheet or plate CNC features.,drop_issue,Track retention vibration and serviceability as nonblocking notes.
ebf3_ebf_wire_guide_tip_mounting_feature,keep_flagged_local,local_nominal,The mounting feature is a small machined steel geometry covered by CNC.,drop_issue,Leave wire-path alignment as assembly acceptance.
