target_item_id,recipe_id,item_material,route_material_basis,policy,original_or_current_labor_only_process_id,current_process_id,replacement_process_id,decision,action,rationale,recipe_path,item_path
ebf3_axis_motor_mounting_feature_set,recipe_ebf3_axis_motor_mounting_feature_set,metal,steel,sensitivity_flag,mounting_bracket_steel_forming_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for machined/located metal mounting features; keep motion precision sensitivity flag.,kb/recipes/recipe_ebf3_axis_motor_mounting_feature_set.yaml,kb/items/parts/ebf3_axis_motor_mounting_feature_set.yaml
ebf3_cabin_access_door_hinge_leaf_or_bracket_set,recipe_ebf3_cabin_access_door_hinge_leaf_or_bracket_set,metal,steel,sensitivity_flag,mounting_bracket_steel_forming_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for hinge leaves/brackets; keep vacuum door wear/seal-load sensitivity flag.,kb/recipes/recipe_ebf3_cabin_access_door_hinge_leaf_or_bracket_set.yaml,kb/items/parts/ebf3_cabin_access_door_hinge_leaf_or_bracket_set.yaml
ebf3_cabin_sacrificial_liner_retainer_set,recipe_ebf3_cabin_sacrificial_liner_retainer_set,metal,steel,sensitivity_flag,mounting_bracket_steel_forming_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for steel retainer hardware; keep cabin thermal/vacuum sensitivity flag.,kb/recipes/recipe_ebf3_cabin_sacrificial_liner_retainer_set.yaml,kb/items/parts/ebf3_cabin_sacrificial_liner_retainer_set.yaml
ebf3_dc_link_busbar_set,recipe_ebf3_dc_link_busbar_set,metal,aluminum_conductor,sensitivity_flag,sheet_making_from_ingot_1mm_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for busbar blanking/drilling from metal stock; keep current-density and clearance sensitivity flag.,kb/recipes/recipe_ebf3_dc_link_busbar_set.yaml,kb/items/parts/ebf3_dc_link_busbar_set.yaml
ebf3_emi_filter_choke_bobbin_or_insulation_set,recipe_ebf3_emi_filter_choke_bobbin_or_insulation_set,insulator,alumina_ceramic,sensitivity_flag,ceramic_block_small_production_v0,ceramic_block_small_production_v0,,not_cnc_candidate,recorded_future_gap,Keep out of CNC: alumina/insulator part needs explicit ceramic pressing/sintering route.,kb/recipes/recipe_ebf3_emi_filter_choke_bobbin_or_insulation_set.yaml,kb/items/parts/ebf3_emi_filter_choke_bobbin_or_insulation_set.yaml
ebf3_full_bridge_dc_busbar_set,recipe_ebf3_full_bridge_dc_busbar_set,metal,aluminum_conductor,sensitivity_flag,sheet_making_from_ingot_1mm_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for busbar blanking/drilling from metal stock; keep inverter current/insulation sensitivity flag.,kb/recipes/recipe_ebf3_full_bridge_dc_busbar_set.yaml,kb/items/parts/ebf3_full_bridge_dc_busbar_set.yaml
ebf3_gun_secondary_pickup_insulator,recipe_ebf3_gun_secondary_pickup_insulator,ceramic,alumina_ceramic,sensitivity_flag,ceramic_block_small_production_v0,ceramic_block_small_production_v0,,not_cnc_candidate,recorded_future_gap,Keep out of CNC: alumina/insulator part needs explicit ceramic pressing/sintering route.,kb/recipes/recipe_ebf3_gun_secondary_pickup_insulator.yaml,kb/items/parts/ebf3_gun_secondary_pickup_insulator.yaml
ebf3_gun_signal_shield_termination_interface,recipe_ebf3_gun_signal_shield_termination_interface,conductive_metal,aluminum_or_steel_shield_interface,sensitivity_flag,sheet_making_from_ingot_to_metal_sheet_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for metal shield termination interface; keep gun-side EMI/vacuum sensitivity flag.,kb/recipes/recipe_ebf3_gun_signal_shield_termination_interface.yaml,kb/items/parts/ebf3_gun_signal_shield_termination_interface.yaml
ebf3_heater_supply_heat_sink,recipe_ebf3_heater_supply_heat_sink,metal,aluminum_heat_sink,sensitivity_flag,heat_sink_extrusion_v0,aluminum_housing_machining_v1,aluminum_housing_machining_v1,fixed,rerouted_to_aluminum_cnc,CNC aluminum heat-sink proxy consistent with other EBF3 heat-sink routes; thermal margin remains flagged.,kb/recipes/recipe_ebf3_heater_supply_heat_sink.yaml,kb/items/parts/ebf3_heater_supply_heat_sink.yaml
ebf3_hv_cable_braided_shield,recipe_ebf3_hv_cable_braided_shield,conductive_metal,plain_steel_or_aluminum_braid,sensitivity_flag,wire_forming_process_v0,wire_forming_process_v0,,not_cnc_candidate,recorded_future_gap,Keep out of CNC: braided/flexible shield needs explicit wire drawing/braiding or shield fabrication route.,kb/recipes/recipe_ebf3_hv_cable_braided_shield.yaml,kb/items/parts/ebf3_hv_cable_braided_shield.yaml
ebf3_hv_pressure_relief_valve_body,recipe_ebf3_hv_pressure_relief_valve_body,metal,steel_stock,sensitivity_flag,pressure_control_valve_assembly_v0,machining_basic_v0,machining_basic_v0,fixed,rerouted_to_cnc,CNC proxy for valve body fabrication; pressure and seal qualification remain sensitivity items.,kb/recipes/recipe_ebf3_hv_pressure_relief_valve_body.yaml,kb/items/parts/ebf3_hv_pressure_relief_valve_body.yaml
