item_id,item_path,old_material,new_material,route_material_basis,policy,mass_kg
ebf3_adc_module_shield,kb/items/parts/ebf3_adc_module_shield.yaml,metal,steel,steel_plate_or_sheet,local_nominal,0.1
ebf3_anti_wear_guide_holder,kb/items/parts/ebf3_anti_wear_guide_holder.yaml,metal,steel,steel,sensitivity_flag,0.03
ebf3_axis_home_sensor_target_set,kb/items/parts/ebf3_axis_home_sensor_target_set.yaml,metal,steel,steel_plate_or_sheet,local_nominal,0.08
ebf3_axis_limit_switch_actuator_set,kb/items/parts/ebf3_axis_limit_switch_actuator_set.yaml,metal,steel,steel,local_nominal,0.05
ebf3_axis_motor_housing_set,kb/items/parts/ebf3_axis_motor_housing_set.yaml,metal,steel,steel_stock,local_nominal,1.0
ebf3_axis_motor_mounting_feature_set,kb/items/parts/ebf3_axis_motor_mounting_feature_set.yaml,metal,steel,steel,local_nominal,1.0
ebf3_ball_nut_body_set,kb/items/parts/ebf3_ball_nut_body_set.yaml,metal,bearing_steel,hardened_bearing_steel,import_until_gap_resolved,1.1
ebf3_ball_nut_recirculation_insert_set,kb/items/parts/ebf3_ball_nut_recirculation_insert_set.yaml,metal,steel,steel_bar_stock,import_until_gap_resolved,0.3
ebf3_ball_nut_rolling_ball_set,kb/items/parts/ebf3_ball_nut_rolling_ball_set.yaml,metal,bearing_steel,bearing_steel,import_until_gap_resolved,0.45
ebf3_beam_current_return_fastener_interface_set,kb/items/parts/ebf3_beam_current_return_fastener_interface_set.yaml,metal,steel,steel_fastener_interface,sensitivity_flag,0.06
ebf3_beam_current_return_flexible_conductor,kb/items/parts/ebf3_beam_current_return_flexible_conductor.yaml,metal,aluminum,aluminum_flexible_conductor,import_until_gap_resolved,0.32
ebf3_beam_current_return_lug_set,kb/items/parts/ebf3_beam_current_return_lug_set.yaml,metal,aluminum,aluminum_conductor,sensitivity_flag,0.12
ebf3_cabin_access_door_hinge_bushing_or_bearing_set,kb/items/parts/ebf3_cabin_access_door_hinge_bushing_or_bearing_set.yaml,metal,bearing_steel,steel_bushing_or_bearing_steel,import_until_gap_resolved,0.5
ebf3_cabin_access_door_hinge_fastener_interface_set,kb/items/parts/ebf3_cabin_access_door_hinge_fastener_interface_set.yaml,metal,steel,steel_stock,sensitivity_flag,0.7
ebf3_cabin_access_door_hinge_leaf_or_bracket_set,kb/items/parts/ebf3_cabin_access_door_hinge_leaf_or_bracket_set.yaml,metal,steel,steel,local_nominal,0.9
ebf3_cabin_access_door_hinge_pin_or_shaft_set,kb/items/parts/ebf3_cabin_access_door_hinge_pin_or_shaft_set.yaml,metal,steel,steel,local_nominal,0.4
ebf3_cabin_access_door_latch_fastener_interface_set,kb/items/parts/ebf3_cabin_access_door_latch_fastener_interface_set.yaml,metal,steel,steel_fastener_interface,local_nominal,0.5
ebf3_cabin_access_door_latch_handle_or_cam_set,kb/items/parts/ebf3_cabin_access_door_latch_handle_or_cam_set.yaml,metal,steel,steel_stock,local_nominal,0.6
ebf3_cabin_access_door_latch_pivot_axle_set,kb/items/parts/ebf3_cabin_access_door_latch_pivot_axle_set.yaml,metal,steel,steel,sensitivity_flag,0.4
ebf3_cabin_access_door_latch_return_spring_set,kb/items/parts/ebf3_cabin_access_door_latch_return_spring_set.yaml,metal,spring_steel,spring_steel,import_until_gap_resolved,0.2
ebf3_cabin_access_door_latch_strike_or_bar_set,kb/items/parts/ebf3_cabin_access_door_latch_strike_or_bar_set.yaml,metal,steel,steel_bar_or_strike,local_nominal,0.8
ebf3_cabin_access_door_panel,kb/items/parts/ebf3_cabin_access_door_panel.yaml,metal,steel,steel_sheet,import_until_gap_resolved,13.0
ebf3_cabin_frame_corner_gusset_set,kb/items/parts/ebf3_cabin_frame_corner_gusset_set.yaml,metal,steel,steel_plate_or_sheet,sensitivity_flag,7.0
ebf3_cabin_frame_member_set,kb/items/parts/ebf3_cabin_frame_member_set.yaml,metal,steel,steel_structural_stock,sensitivity_flag,24.0
ebf3_cabin_frame_mounting_foot_set,kb/items/parts/ebf3_cabin_frame_mounting_foot_set.yaml,metal,steel,steel_structural_stock,local_nominal,4.0
ebf3_cabin_gun_port_flange_ring,kb/items/parts/ebf3_cabin_gun_port_flange_ring.yaml,metal,steel,steel_plate_or_ring,sensitivity_flag,5.0
ebf3_cabin_gun_port_reinforcement_ring,kb/items/parts/ebf3_cabin_gun_port_reinforcement_ring.yaml,metal,steel,steel_plate_or_sheet,local_nominal,3.0
ebf3_cabin_lighting_port_frame,kb/items/parts/ebf3_cabin_lighting_port_frame.yaml,metal,steel,steel_structural_stock,import_until_gap_resolved,30.0
ebf3_cabin_lighting_shield_mount,kb/items/parts/ebf3_cabin_lighting_shield_mount.yaml,metal,steel,steel,local_nominal,12.08
ebf3_cabin_positioning_floor_mount_plate,kb/items/parts/ebf3_cabin_positioning_floor_mount_plate.yaml,metal,steel,steel_plate_or_sheet,local_nominal,12.0
ebf3_cabin_positioning_leveling_pad_set,kb/items/parts/ebf3_cabin_positioning_leveling_pad_set.yaml,metal,steel,steel_stock,local_nominal,3.0
ebf3_cabin_sacrificial_liner_panel_set,kb/items/parts/ebf3_cabin_sacrificial_liner_panel_set.yaml,metal,steel,steel_plate_or_sheet,sensitivity_flag,10.0
ebf3_cabin_sacrificial_liner_retainer_set,kb/items/parts/ebf3_cabin_sacrificial_liner_retainer_set.yaml,metal,steel,steel,local_nominal,2.0
ebf3_cabin_wall_panel_set,kb/items/parts/ebf3_cabin_wall_panel_set.yaml,metal,steel,steel_sheet,import_until_gap_resolved,34.0
ebf3_cabin_wall_stiffener_set,kb/items/parts/ebf3_cabin_wall_stiffener_set.yaml,metal,steel,steel,sensitivity_flag,8.0
ebf3_cabin_wire_feeder_port_flange_ring,kb/items/parts/ebf3_cabin_wire_feeder_port_flange_ring.yaml,metal,steel,steel_plate_or_ring,sensitivity_flag,6.0
ebf3_cabin_wire_feeder_port_reinforcement_ring,kb/items/parts/ebf3_cabin_wire_feeder_port_reinforcement_ring.yaml,metal,steel,steel_plate_or_sheet,local_nominal,4.0
ebf3_can_bus_interface_shield,kb/items/parts/ebf3_can_bus_interface_shield.yaml,metal,aluminum,aluminum_sheet,local_nominal,0.1
