source_row_number,item,cad_file,website_status,website_reason,step_export_status,material_primary,material_specificity,function_evidence_basis,mass_evidence_basis,material_evidence_basis,how_to_make_evidence_basis
2,1A1,1A1_back_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,aluminum alloy,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
3,1A2,1A2_flange_schlieren_imaging,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
4,1A3,1A3_mounting_plate_flow_rectifier,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
5,1A41,1A41_SM2A53-Step,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,anodized aluminum,Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
6,1A42,1A42_flange_schlieren_imaging,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
7,1A51,1A51_seal,Unusable link,Original BOM link is a vendor homepage.,matched_existing,unknown elastomeric gasket or seal material,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
8,1A52,1A52_cover,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,unknown metal/alloy cover-plate material,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
9,1B1,1B1_door_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
10,1B2,1B2_handle,Useful link,original BOM link is row-specific/useful,matched_existing,"Stainless steel precision casting 1.4408, matte blasted GS finish",Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
11,1B3,1B3_flange_schlieren_imaging,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
12,1B41,1B41_glas,Useful link,research result has independent vendor-spec evidence,matched_existing,laser-protective mineral/safety glass panel; exact filter grade and coating/lamination stack unknown,Unknown/unspecified material,independent_vendor_spec,bom_provided,independent_vendor_spec,independent_vendor_spec
13,1B42,1B42_seal,Unusable link,Original BOM link is a vendor homepage.,matched_existing,"unknown LiSEMA flat-gasket material; plausible family is elastomeric or gasket-sheet stock such as silicone, silicone foam, EPDM, NBR, CR, FKM/Viton, PTFE, PU, PVC/PMMA, graphite, fiber, or mica-based gasket material",Unknown/unspecified material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
14,1B43,1B43_frame,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
15,1B51,1B51_SM2A53-Step,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,anodized aluminum,Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
16,1B52,1B52_flange_schlieren_imaging,No link,no original BOM link and no web source recorded in the result,assembly_only,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
17,1B61,1B61_seal,Unusable link,Original BOM link is a vendor homepage.,assembly_only,elastomer sealing material in LiSEMA EPDM/NBR/CR sponge-rubber or rubber-profile families,Specific material,bom_provided,engineering_hypothesis,bom_provided,engineering_hypothesis
18,1B62,1B62_cover,Useful link,research result has independent vendor-spec evidence,assembly_only,Case-hardened C10 steel with zinc-plated/blue-passivated finish; tempered steel bearing pins; zinc-plated steel GN 708.1 clamping screw with 85 Shore A rubber thrust pad; oil-resistant plastic handle; special grease on moving parts.,Specific material,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec
19,1C0,1C0_clamp_GN 820_2-230-MFC,Useful link,original BOM link is row-specific/useful; research result has independent vendor-spec evidence,matched_existing,"case-hardened steel C10 clamp body with zinc-plated blue-passivated finish, tempered bearing pins, lubricated moving parts, oil-resistant red plastic hand grip, and GN 708.1 spindle assembly with steel or stainless spindle and rubber tip",Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
20,1D1,1D1_part_1,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,stainless steel family,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
21,1D2,1D2_part_2,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,stainless steel family,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
22,1D3,1D3_part_3,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,stainless steel or corrosion-resistant steel hinge material,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
23,1E,1E_adapter_hinge,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
24,2A1,2A1_bottom,No link,no original BOM link and no web source recorded in the result,matched_existing,Aluminum 6061,Specific material,bom_provided,bom_provided,bom_provided,engineering_hypothesis
25,2A2,2A2_back_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
26,2A3,2A3_slide_HGL15CA2R600Z0H_part_1,Useful link,research result has independent vendor-spec evidence,matched_existing,chrome/bearing steel linear-guide carriage with steel balls and non-metal seal/retainer/end-cap components,Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
27,2A4,2A4_slide_HGL15CA2R600Z0H_part_2,Unusable link,"Original link identifies a parent product/module while this row is a subpart, dummy, or simplified CAD representation.",matched_existing,"carbon steel linear-guide block/carriage with recirculating steel balls, seals/end components, and grease/lubrication features",Specific material,bom_provided,bom_provided,standard_part_convention,engineering_hypothesis
28,2A51,2A51_linear_guide_HGL15CA2R600Z0H,Useful link,original BOM link is row-specific/useful,matched_existing,"carbon steel precision linear-guide rail, with optional HIWIN rail coatings depending on ordered finish",Specific material,bom_provided,bom_provided,standard_part_convention,engineering_hypothesis
29,2A6,2A6_left_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,"Aluminum alloy structural plate, exact grade unknown",Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
30,2A7,2A7_right_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
31,2A8,2A8_left_distance_piece,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
32,2A9,2A9_right_distance_piece,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
33,2AA,2AA_left_support_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
34,2AB,2AB_right_support_plate,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown structural metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
35,2AC1,2AC1_part_1,Useful link,research result has independent vendor-spec evidence,assembly_only,"Predominantly steel bearing unit: steel pillow block, bearing, and locknut.",Specific material,independent_vendor_spec,engineering_hypothesis,independent_vendor_spec,engineering_hypothesis
36,2AC2,2AC2_part_2,Useful link,research result has independent vendor-spec evidence,assembly_only,"steel-family supported bearing unit; catalog-level stack is steel pillow block housing, deep-groove ball bearing 62...2RS, and DIN 471 circlip",Specific material,independent_vendor_spec,engineering_hypothesis,independent_vendor_spec,engineering_hypothesis
37,2AC3,2AC3_part_3,Useful link,research result has independent vendor-spec evidence,assembly_only,unknown metal/alloy bearing support unit with rolling bearing and seal elements,Unknown/unspecified material,independent_vendor_spec,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
38,2AC4,2AC4_part_4,Useful link,research result has independent vendor-spec evidence,matched_existing,chrome bearing steel / high-carbon chromium bearing steel,Specific material,bom_provided,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
39,2AC5,2AC5_part_5,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,unknown bearing-ball metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
40,2AC6,2AC6_part_6,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,hardened bearing steel / chrome steel bearing-ball material family,Specific material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
41,2AC7,2AC7_part_7,Found link,"research result contains at least one web source, but no row-specific vendor-spec evidence was recorded",matched_existing,probable steel-family bearing cage or retainer material,Specific material,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
42,2AC8,2AC8_part_8,Useful link,research result has independent vendor-spec evidence,matched_existing,"52100 chrome/bearing steel rings and balls with pressed steel cage, rubber contact seals, and grease lubrication.",Specific material,independent_vendor_spec,independent_vendor_spec,independent_vendor_spec,engineering_hypothesis
43,2AC9,2AC9_part_9,No link,no original BOM link and no web source recorded in the result,matched_existing,unknown metal/alloy,Unknown/unspecified material,bom_provided,engineering_hypothesis,engineering_hypothesis,engineering_hypothesis
