priority,queue_reason,item_id,policy,route_decision,mass_nominal_kg,material,availability_class,confidence,active_recipe_id,recipe_exists,current_process_ids,process_paths,current_machine_ids,decision_machine_ids,machine_selection_statuses,machine_risk_flags,machine_evidence_sources,reasoning_brief,item_path,worker_task,worker_decision,worker_notes
110,rerouted_existing_process_still_flagged,ebf3_emi_filter_choke_bobbin_or_insulation_set,sensitivity_flag,lunar_candidate_flagged,0.12,alumina_ceramic,local_derived,medium,recipe_ebf3_emi_filter_choke_bobbin_or_insulation_set,True,ceramic_forming_basic_v0;ceramic_sintering_process_v0,kb/processes/ceramic_forming_basic_v0.yaml;kb/processes/ceramic_sintering_process_v0.yaml,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,labor_bot_general_v0:usable_unreviewed;pressing_mold_set:usable_unreviewed;hydraulic_press:usable_unreviewed;kiln_ceramic:usable_unreviewed,,labor_bot_general_v0:process_resource_use;pressing_mold_set:process_resource_use;hydraulic_press:process_resource_use;kiln_ceramic:process_resource_use,Alumina insulation has local-derived material support but choke dielectric and winding geometry need flagged validation,kb/items/parts/ebf3_emi_filter_choke_bobbin_or_insulation_set.yaml,"Review whether current process/machine route can support this EBF3 leaf. Ignore capabilities as standalone proof; use machine selection_status/evidence/risk, process inputs/outputs, item material, mass, and performance requirements. Do not rerun local_nominal/import_nominal items. Output one of: keep_flagged_local, reroute_existing_process, needs_new_process_chain, import_until_gap_resolved, import_nominal.",reroute_existing_process,"Existing ceramic forming/sintering route has concrete press/mold/kiln machines now usable_unreviewed; keep only part-specific dielectric, wear, thermal shock, dimensional, or cleanliness flags."
110,performance_or_qa_route_gap,ebf3_gun_secondary_pickup_insulator,import_until_gap_resolved,route_gap,0.05,ceramic,local_derived,medium,,False,ceramic_forming_basic_v0;ceramic_sintering_process_v0,kb/processes/ceramic_forming_basic_v0.yaml;kb/processes/ceramic_sintering_process_v0.yaml,labor_bot_general_v0;pressing_mold_set;hydraulic_press;kiln_ceramic,labor_bot_general_v0;pressing_mold_set;hydraulic_press;kiln_ceramic,pressing_mold_set:usable_unreviewed;hydraulic_press:usable_unreviewed;kiln_ceramic:usable_unreviewed;labor_bot_general_v0:usable_unreviewed,,pressing_mold_set:process_resource_use;hydraulic_press:process_resource_use;kiln_ceramic:process_resource_use;labor_bot_general_v0:process_resource_use,Small alumina pickup insulator is a local candidate but signal isolation in the gun needs flagged dielectric checks,kb/items/parts/ebf3_gun_secondary_pickup_insulator.yaml,"Review whether current process/machine route can support this EBF3 leaf. Ignore capabilities as standalone proof; use machine selection_status/evidence/risk, process inputs/outputs, item material, mass, and performance requirements. Do not rerun local_nominal/import_nominal items. Output one of: keep_flagged_local, reroute_existing_process, needs_new_process_chain, import_until_gap_resolved, import_nominal.",import_until_gap_resolved,"Material route is lunar-plausible, but this part is an HV/electron-gun/feedthrough dielectric boundary requiring creepage, leakage, partial-discharge or hermetic QA; labor-bot capability is irrelevant."
110,labor_only_route_check,ebf3_hv_cable_braided_shield,import_until_gap_resolved,route_gap,0.18,aluminum,local_derived,medium,,False,wire_forming_process_v0,kb/processes/wire_forming_process_v0.yaml,labor_bot_general_v0,labor_bot_general_v0,labor_bot_general_v0:usable_unreviewed,,labor_bot_general_v0:process_resource_use,Shield braid stays flagged local only as plain steel or aluminum braid; stainless alloy trace-element dependence is not assumed,kb/items/parts/ebf3_hv_cable_braided_shield.yaml,"Review whether current process/machine route can support this EBF3 leaf. Ignore capabilities as standalone proof; use machine selection_status/evidence/risk, process inputs/outputs, item material, mass, and performance requirements. Do not rerun local_nominal/import_nominal items. Output one of: keep_flagged_local, reroute_existing_process, needs_new_process_chain, import_until_gap_resolved, import_nominal.",needs_new_process_chain,"Existing KB has wire drawing/spool processes, but a braided/flexible shield needs explicit braid coverage, tensioning, termination continuity, flex, and vacuum cleanliness; not a labor-only operation."
110,performance_or_qa_route_gap,ebf3_hv_voltage_divider_insulating_support,import_until_gap_resolved,route_gap,0.1,alumina_ceramic,local_derived,medium,,False,ceramic_forming_basic_v0;ceramic_sintering_process_v0,kb/processes/ceramic_forming_basic_v0.yaml;kb/processes/ceramic_sintering_process_v0.yaml,labor_bot_general_v0;pressing_mold_set;hydraulic_press;kiln_ceramic,labor_bot_general_v0;pressing_mold_set;hydraulic_press;kiln_ceramic,labor_bot_general_v0:usable_unreviewed;pressing_mold_set:usable_unreviewed;hydraulic_press:usable_unreviewed;kiln_ceramic:usable_unreviewed,,labor_bot_general_v0:process_resource_use;pressing_mold_set:process_resource_use;hydraulic_press:process_resource_use;kiln_ceramic:process_resource_use,Alumina support is plausible but HV divider accuracy and leakage need a flagged route,kb/items/parts/ebf3_hv_voltage_divider_insulating_support.yaml,"Review whether current process/machine route can support this EBF3 leaf. Ignore capabilities as standalone proof; use machine selection_status/evidence/risk, process inputs/outputs, item material, mass, and performance requirements. Do not rerun local_nominal/import_nominal items. Output one of: keep_flagged_local, reroute_existing_process, needs_new_process_chain, import_until_gap_resolved, import_nominal.",import_until_gap_resolved,"Material route is lunar-plausible, but this part is an HV/electron-gun/feedthrough dielectric boundary requiring creepage, leakage, partial-discharge or hermetic QA; labor-bot capability is irrelevant."
110,rerouted_existing_process_still_flagged,ebf3_intermediate_wire_guide_wear_insert,sensitivity_flag,lunar_candidate_flagged,0.09,ceramic,local_derived,medium,recipe_ebf3_intermediate_wire_guide_wear_insert,True,ceramic_forming_basic_v0;ceramic_sintering_process_v0,kb/processes/ceramic_forming_basic_v0.yaml;kb/processes/ceramic_sintering_process_v0.yaml,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,labor_bot_general_v0:usable_unreviewed;pressing_mold_set:usable_unreviewed;hydraulic_press:usable_unreviewed;kiln_ceramic:usable_unreviewed,,labor_bot_general_v0:process_resource_use;pressing_mold_set:process_resource_use;hydraulic_press:process_resource_use;kiln_ceramic:process_resource_use,Alumina wear insert is plausible locally but wear face quality and chipping risk make it flagged,kb/items/parts/ebf3_intermediate_wire_guide_wear_insert.yaml,"Review whether current process/machine route can support this EBF3 leaf. Ignore capabilities as standalone proof; use machine selection_status/evidence/risk, process inputs/outputs, item material, mass, and performance requirements. Do not rerun local_nominal/import_nominal items. Output one of: keep_flagged_local, reroute_existing_process, needs_new_process_chain, import_until_gap_resolved, import_nominal.",reroute_existing_process,"Existing ceramic forming/sintering route has concrete press/mold/kiln machines now usable_unreviewed; keep only part-specific dielectric, wear, thermal shock, dimensional, or cleanliness flags."
110,labor_only_route_check,ebf3_positioning_signal_cable_shield_set,import_until_gap_resolved,route_gap,0.18,aluminum,local_derived,medium,,False,wire_forming_process_v0,kb/processes/wire_forming_process_v0.yaml,labor_bot_general_v0,labor_bot_general_v0,labor_bot_general_v0:usable_unreviewed,,labor_bot_general_v0:process_resource_use,Cable shield stays flagged local only as plain steel or aluminum braid; stainless alloy trace-element dependence is not assumed,kb/items/parts/ebf3_positioning_signal_cable_shield_set.yaml,"Review whether current process/machine route can support this EBF3 leaf. Ignore capabilities as standalone proof; use machine selection_status/evidence/risk, process inputs/outputs, item material, mass, and performance requirements. Do not rerun local_nominal/import_nominal items. Output one of: keep_flagged_local, reroute_existing_process, needs_new_process_chain, import_until_gap_resolved, import_nominal.",needs_new_process_chain,"Existing KB has wire drawing/spool processes, but a braided/flexible shield needs explicit braid coverage, tensioning, termination continuity, flex, and vacuum cleanliness; not a labor-only operation."
110,rerouted_existing_process_still_flagged,ebf3_substrate_clamp_insulating_pad_set,sensitivity_flag,lunar_candidate_flagged,0.2,ceramic,local_derived,medium,recipe_ebf3_substrate_clamp_insulating_pad_set,True,ceramic_forming_basic_v0;ceramic_sintering_process_v0,kb/processes/ceramic_forming_basic_v0.yaml;kb/processes/ceramic_sintering_process_v0.yaml,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,labor_bot_general_v0:usable_unreviewed;pressing_mold_set:usable_unreviewed;hydraulic_press:usable_unreviewed;kiln_ceramic:usable_unreviewed,,labor_bot_general_v0:process_resource_use;pressing_mold_set:process_resource_use;hydraulic_press:process_resource_use;kiln_ceramic:process_resource_use,Alumina pads are local candidates but clamp isolation and thermal cycling are flagged,kb/items/parts/ebf3_substrate_clamp_insulating_pad_set.yaml,"Review whether current process/machine route can support this EBF3 leaf. Ignore capabilities as standalone proof; use machine selection_status/evidence/risk, process inputs/outputs, item material, mass, and performance requirements. Do not rerun local_nominal/import_nominal items. Output one of: keep_flagged_local, reroute_existing_process, needs_new_process_chain, import_until_gap_resolved, import_nominal.",reroute_existing_process,"Existing ceramic forming/sintering route has concrete press/mold/kiln machines now usable_unreviewed; keep only part-specific dielectric, wear, thermal shock, dimensional, or cleanliness flags."
110,rerouted_existing_process_still_flagged,ebf3_thermal_isolation_standoff_body_set,sensitivity_flag,lunar_candidate_flagged,0.3,alumina_ceramic,local_derived,medium,recipe_ebf3_thermal_isolation_standoff_body_set,True,ceramic_forming_basic_v0;ceramic_sintering_process_v0,kb/processes/ceramic_forming_basic_v0.yaml;kb/processes/ceramic_sintering_process_v0.yaml,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,labor_bot_general_v0:usable_unreviewed;pressing_mold_set:usable_unreviewed;hydraulic_press:usable_unreviewed;kiln_ceramic:usable_unreviewed,,labor_bot_general_v0:process_resource_use;pressing_mold_set:process_resource_use;hydraulic_press:process_resource_use;kiln_ceramic:process_resource_use,Alumina standoffs are plausible local ceramic parts but thermal isolation performance needs a flag,kb/items/parts/ebf3_thermal_isolation_standoff_body_set.yaml,"Review whether current process/machine route can support this EBF3 leaf. Ignore capabilities as standalone proof; use machine selection_status/evidence/risk, process inputs/outputs, item material, mass, and performance requirements. Do not rerun local_nominal/import_nominal items. Output one of: keep_flagged_local, reroute_existing_process, needs_new_process_chain, import_until_gap_resolved, import_nominal.",reroute_existing_process,"Existing ceramic forming/sintering route has concrete press/mold/kiln machines now usable_unreviewed; keep only part-specific dielectric, wear, thermal shock, dimensional, or cleanliness flags."
110,rerouted_existing_process_still_flagged,ebf3_thermal_isolation_standoff_fastener_interface_set,sensitivity_flag,lunar_candidate_flagged,0.04,ceramic,local_derived,medium,recipe_ebf3_thermal_isolation_standoff_fastener_interface_set,True,ceramic_forming_basic_v0;ceramic_sintering_process_v0,kb/processes/ceramic_forming_basic_v0.yaml;kb/processes/ceramic_sintering_process_v0.yaml,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,labor_bot_general_v0:usable_unreviewed;pressing_mold_set:usable_unreviewed;hydraulic_press:usable_unreviewed;kiln_ceramic:usable_unreviewed,,labor_bot_general_v0:process_resource_use;pressing_mold_set:process_resource_use;hydraulic_press:process_resource_use;kiln_ceramic:process_resource_use,Local alumina can support this small interface but thermal and fastening behavior stay flagged,kb/items/parts/ebf3_thermal_isolation_standoff_fastener_interface_set.yaml,"Review whether current process/machine route can support this EBF3 leaf. Ignore capabilities as standalone proof; use machine selection_status/evidence/risk, process inputs/outputs, item material, mass, and performance requirements. Do not rerun local_nominal/import_nominal items. Output one of: keep_flagged_local, reroute_existing_process, needs_new_process_chain, import_until_gap_resolved, import_nominal.",reroute_existing_process,"Existing ceramic forming/sintering route has concrete press/mold/kiln machines now usable_unreviewed; keep only part-specific dielectric, wear, thermal shock, dimensional, or cleanliness flags."
110,rerouted_existing_process_still_flagged,ebf3_wire_feed_motor_clamp_insulator,sensitivity_flag,lunar_candidate_flagged,0.2,alumina_ceramic,local_derived,medium,recipe_ebf3_wire_feed_motor_clamp_insulator,True,ceramic_forming_basic_v0;ceramic_sintering_process_v0,kb/processes/ceramic_forming_basic_v0.yaml;kb/processes/ceramic_sintering_process_v0.yaml,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,pressing_mold_set;hydraulic_press;kiln_ceramic;labor_bot_general_v0,labor_bot_general_v0:usable_unreviewed;pressing_mold_set:usable_unreviewed;hydraulic_press:usable_unreviewed;kiln_ceramic:usable_unreviewed,,labor_bot_general_v0:process_resource_use;pressing_mold_set:process_resource_use;hydraulic_press:process_resource_use;kiln_ceramic:process_resource_use,Alumina motor clamp insulation is locally plausible but dielectric and mechanical clamp behavior are flagged,kb/items/parts/ebf3_wire_feed_motor_clamp_insulator.yaml,"Review whether current process/machine route can support this EBF3 leaf. Ignore capabilities as standalone proof; use machine selection_status/evidence/risk, process inputs/outputs, item material, mass, and performance requirements. Do not rerun local_nominal/import_nominal items. Output one of: keep_flagged_local, reroute_existing_process, needs_new_process_chain, import_until_gap_resolved, import_nominal.",reroute_existing_process,"Existing ceramic forming/sintering route has concrete press/mold/kiln machines now usable_unreviewed; keep only part-specific dielectric, wear, thermal shock, dimensional, or cleanliness flags."
