item_id,item_path,mass_kg,item_material,route_material_basis,route_decision,simulation_import_mass_policy,recipe,is_import,issue_types,severity,name,notes
ebf3_adc_converter_board,kb/items/parts/ebf3_adc_converter_board.yaml,0.4,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 adc converter board,Child of ebf3_analog_input_adc_module. Adc converter board for EBF3 analog input and ADC module.
ebf3_adc_module_connector_set,kb/items/parts/ebf3_adc_module_connector_set.yaml,0.1,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 adc module connector set,Child of ebf3_analog_input_adc_module. Connector set for EBF3 analog input and ADC module.
ebf3_adc_module_shield,kb/items/parts/ebf3_adc_module_shield.yaml,0.1,steel,steel_plate_or_sheet,lunar_candidate,local_nominal,recipe_ebf3_adc_module_shield,,,,EBF3 adc module shield,Child of ebf3_analog_input_adc_module. Shield for EBF3 analog input and ADC module.
ebf3_analog_input_protection_front_end,kb/items/parts/ebf3_analog_input_protection_front_end.yaml,0.2,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 analog input protection front end,Child of ebf3_analog_input_adc_module. Input protection front end for EBF3 analog input and ADC module.
ebf3_anti_wear_guide_holder,kb/items/parts/ebf3_anti_wear_guide_holder.yaml,0.03,steel,steel,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_anti_wear_guide_holder,,,,EBF3 anti wear guide holder,Child of ebf3_anti_wear_guide. Guide holder for EBF3 anti-wear guide.
ebf3_anti_wear_guide_insert,kb/items/parts/ebf3_anti_wear_guide_insert.yaml,0.07,ceramic,alumina_ceramic_v0,lunar_candidate_flagged,sensitivity_flag,recipe_ebf3_anti_wear_guide_insert,,item_material_family_only,medium,EBF3 anti wear guide insert,Child of ebf3_anti_wear_guide. Anti-wear insert for EBF3 anti-wear guide.
ebf3_aux_dc_converter_module_set,kb/items/parts/ebf3_aux_dc_converter_module_set.yaml,2.0,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,high,EBF3 aux dc converter module set,Child of ebf3_auxiliary_low_voltage_dc_supply. Dc converter module set for EBF3 auxiliary low-voltage DC supply.
ebf3_aux_dc_distribution_terminal_set,kb/items/parts/ebf3_aux_dc_distribution_terminal_set.yaml,0.7,electronic,mixed_electrical_or_polymer_harness,earth_import,import_nominal,,True,item_material_family_only,medium,EBF3 aux dc distribution terminal set,Child of ebf3_auxiliary_low_voltage_dc_supply. Distribution terminal set for EBF3 auxiliary low-voltage DC supply.
ebf3_aux_dc_filter_capacitor_set,kb/items/parts/ebf3_aux_dc_filter_capacitor_set.yaml,0.8,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 aux dc filter capacitor set,Child of ebf3_auxiliary_low_voltage_dc_supply. Filter capacitor set for EBF3 auxiliary low-voltage DC supply.
ebf3_axis_home_sensor_body_set,kb/items/parts/ebf3_axis_home_sensor_body_set.yaml,0.14,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 axis home sensor body set,Child of ebf3_axis_home_sensors. Home sensor body set for EBF3 axis home sensors.
ebf3_axis_home_sensor_lead_set,kb/items/parts/ebf3_axis_home_sensor_lead_set.yaml,0.08,composite,mixed_electrical_or_polymer_harness,earth_import,import_nominal,,True,item_material_family_only,medium,EBF3 axis home sensor lead set,Child of ebf3_axis_home_sensors. Home sensor lead set for EBF3 axis home sensors.
ebf3_axis_home_sensor_target_set,kb/items/parts/ebf3_axis_home_sensor_target_set.yaml,0.08,steel,steel_plate_or_sheet,lunar_candidate,local_nominal,recipe_ebf3_axis_home_sensor_target_set,,,,EBF3 axis home sensor target set,Child of ebf3_axis_home_sensors. Home sensor target set for EBF3 axis home sensors.
ebf3_axis_limit_switch_actuator_set,kb/items/parts/ebf3_axis_limit_switch_actuator_set.yaml,0.05,steel,steel,lunar_candidate,local_nominal,recipe_ebf3_axis_limit_switch_actuator_set,,,,EBF3 axis limit switch actuator set,Child of ebf3_axis_travel_limit_switches. Limit switch actuator set for EBF3 axis travel limit switches.
ebf3_axis_limit_switch_body_set,kb/items/parts/ebf3_axis_limit_switch_body_set.yaml,0.1,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,medium,EBF3 axis limit switch body set,Child of ebf3_axis_travel_limit_switches. Limit switch body set for EBF3 axis travel limit switches.
ebf3_axis_limit_switch_lead_set,kb/items/parts/ebf3_axis_limit_switch_lead_set.yaml,0.05,composite,mixed_electrical_or_polymer_harness,earth_import,import_nominal,,True,item_material_family_only,medium,EBF3 axis limit switch lead set,Child of ebf3_axis_travel_limit_switches. Limit switch lead set for EBF3 axis travel limit switches.
ebf3_axis_motor_body_set,kb/items/parts/ebf3_axis_motor_body_set.yaml,3.2,electronic,electronic,import_as_leaf,import_nominal,,True,item_material_family_only;route_material_basis_family_only,high,EBF3 axis motor body set,Child of ebf3_axis_motors. Axis motor body set for EBF3 axis motors.
ebf3_axis_motor_housing_set,kb/items/parts/ebf3_axis_motor_housing_set.yaml,1.0,steel,steel_stock,lunar_candidate,local_nominal,recipe_ebf3_axis_motor_housing_set,,,,EBF3 axis motor housing set,Child of ebf3_axis_motors. Motor housing set for EBF3 axis motors.
ebf3_axis_motor_lead_set,kb/items/parts/ebf3_axis_motor_lead_set.yaml,0.8,composite,mixed_electrical_or_polymer_harness,earth_import,import_nominal,,True,item_material_family_only,medium,EBF3 axis motor lead set,Child of ebf3_axis_motors. Motor lead set for EBF3 axis motors.
ebf3_axis_motor_mounting_feature_set,kb/items/parts/ebf3_axis_motor_mounting_feature_set.yaml,1.0,steel,steel,lunar_candidate,local_nominal,recipe_ebf3_axis_motor_mounting_feature_set,,,,EBF3 axis motor mounting feature set,Child of ebf3_axis_motors. Motor mounting feature set for EBF3 axis motors.
ebf3_ball_nut_body_set,kb/items/parts/ebf3_ball_nut_body_set.yaml,1.1,bearing_steel,hardened_bearing_steel,route_gap,import_until_gap_resolved,,True,,,EBF3 ball nut body set,Child of ebf3_ball_nuts. Ball nut body set for EBF3 ball nuts.
ebf3_ball_nut_recirculation_insert_set,kb/items/parts/ebf3_ball_nut_recirculation_insert_set.yaml,0.3,steel,steel_bar_stock,route_gap,import_until_gap_resolved,,True,,,EBF3 ball nut recirculation insert set,Child of ebf3_ball_nuts. Recirculation insert set for EBF3 ball nuts.
ebf3_ball_nut_rolling_ball_set,kb/items/parts/ebf3_ball_nut_rolling_ball_set.yaml,0.45,bearing_steel,bearing_steel,route_gap,import_until_gap_resolved,,True,,,EBF3 ball nut rolling ball set,Child of ebf3_ball_nuts. Rolling ball set for EBF3 ball nuts.
ebf3_ball_nut_wiper_or_seal_set,kb/items/parts/ebf3_ball_nut_wiper_or_seal_set.yaml,0.15,polymer,silicone_rubber_or_vacuum_polymer,earth_import,import_nominal,,True,item_material_family_only,medium,EBF3 ball nut wiper or seal set,Child of ebf3_ball_nuts. Wiper or seal set for EBF3 ball nuts.
