batch,item_id,parent_ids,disposition,confidence,reason,checked_refs,next_action
1,ebf3_adc_converter_board,ebf3_analog_input_adc_module,keep_ebf3_leaf,high,Trusted EBF3 unreplaced electronics board; no accepted existing replacement and no item recipe. Generic electronics closure would hide ADC architecture and imported semiconductor content.,readiness_csv; item_yaml,Treat as EBF3 import/deferred leaf for current simulation; decompose electronics only if it becomes a top import-mass or capability driver.
1,ebf3_adc_module_connector_set,ebf3_analog_input_adc_module,keep_ebf3_leaf,high,"Replacement register explicitly marks connector_electrical_multi_pin as not enough accuracy because pin count, rating, shielding, or environment affects the EBF3 board/interface role.",readiness_csv; item_yaml; replacement_register,Keep EBF3 connector leaf; do not use generic connector recipe for local closure.
1,ebf3_adc_module_shield,ebf3_analog_input_adc_module,keep_ebf3_leaf,medium,"Simple metal shield is probably locally fabricable, but this EBF3 leaf has no recipe and no reviewed local route. Local expansion would be a new readiness decision, not current evidence.",readiness_csv; item_yaml,Keep EBF3 leaf for now; later classify as local metal shield after material/process review.
1,ebf3_analog_input_protection_front_end,ebf3_analog_input_adc_module,keep_ebf3_leaf,high,Trusted EBF3 unreplaced electronics protection front end; no accepted replacement or recipe. Function depends on circuit/rating details hidden by coarse electronics items.,readiness_csv; item_yaml,Treat as EBF3 import/deferred electronics leaf unless a dedicated electronics decomposition is done.
1,ebf3_anti_wear_guide_holder,ebf3_anti_wear_guide,keep_ebf3_leaf,medium,"Small metal holder is plausibly local, but no recipe or approved replacement exists. Motion/interface tolerances are marked review_required in readiness matrix.",readiness_csv; item_yaml; wire_feeder_audit,Keep EBF3 leaf; later review as local machined holder if guide assembly matters.
1,ebf3_anti_wear_guide_insert,ebf3_anti_wear_guide,keep_ebf3_leaf,medium,Ceramic wear insert has material and surface/wear requirements; no recipe or approved replacement exists. Generic ceramic closure would hide grade and finish assumptions.,readiness_csv; item_yaml; wire_feeder_audit,Keep EBF3 leaf; later review alumina/ceramic route if wear-guide closure matters.
1,ebf3_aux_dc_converter_module_set,ebf3_auxiliary_low_voltage_dc_supply,keep_ebf3_leaf,high,Trusted EBF3 unreplaced DC converter module set; no accepted replacement or recipe. Electronics/power-converter internals would hide semiconductor and magnetic component imports.,readiness_csv; item_yaml,Treat as EBF3 import/deferred electronics leaf for current simulation.
1,ebf3_aux_dc_filter_capacitor_set,ebf3_auxiliary_low_voltage_dc_supply,expand_but_flag,medium,"Existing capacitor_bank_filter has a recipe, but its notes say capacitor elements are currently assumed imported and not modeled separately; voltage/ripple/dielectric requirements remain hidden.",readiness_csv; item_yaml; candidate_item_yaml; recipe_capacitor_bank_filter_v1,May use capacitor_bank_filter only for sensitivity expansion; flag as not EBF3-local-closure evidence.
1,ebf3_axis_home_sensor_body_set,ebf3_axis_home_sensors,keep_ebf3_leaf,high,Trusted EBF3 unreplaced sensor body/electronics set; no accepted replacement or recipe. Home-sensor technology and electronics are unresolved.,readiness_csv; item_yaml,Treat as EBF3 import/deferred sensor leaf unless sensor technology is selected.
1,ebf3_axis_home_sensor_target_set,ebf3_axis_home_sensors,keep_ebf3_leaf,medium,"Simple metal target is likely locally fabricable, but this leaf has no recipe or approved replacement. Sensor target geometry/alignment remains unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf now; later review as local machined target if positioning closure matters.
1,ebf3_axis_limit_switch_actuator_set,ebf3_axis_travel_limit_switches,keep_ebf3_leaf,medium,"Simple metal actuator is likely locally fabricable, but no recipe or approved replacement exists and switch actuation geometry is unresolved.",readiness_csv; item_yaml,Keep EBF3 leaf now; later review as local machined/sheet actuator.
1,ebf3_axis_limit_switch_body_set,ebf3_axis_travel_limit_switches,keep_ebf3_leaf,high,"Trusted EBF3 unreplaced limit-switch body/electronics set; no accepted replacement or recipe. Switch type, contacts, housing, and ratings are hidden.",readiness_csv; item_yaml,Treat as EBF3 import/deferred switch leaf unless decomposed.
1,ebf3_axis_motor_body_set,ebf3_axis_motors,keep_ebf3_leaf,high,"Candidate stepper_motor_precision is a whole motor, while this row is the motor body set inside the EBF3 axis-motor BOM. Using the whole motor here would collapse child structure and risk double counting.",readiness_csv; item_yaml; candidate_item_yaml; recipe_stepper_motor_precision_v0,Keep EBF3 child leaf; classify the parent axis motor separately if whole-motor substitution is considered.
1,ebf3_axis_motor_housing_set,ebf3_axis_motors,keep_ebf3_leaf,high,"Candidate stepper_motor_precision is a whole motor and not a same-level housing replacement. The housing may be local metal work, but current leaf has no reviewed recipe.",readiness_csv; item_yaml; candidate_item_yaml; recipe_stepper_motor_precision_v0,Keep EBF3 housing leaf; later review as local machined/cast housing if motor decomposition is retained.
1,ebf3_axis_motor_mounting_feature_set,ebf3_axis_motors,keep_ebf3_leaf,high,Candidate stepper_motor_precision is a whole motor and not a same-level mounting-feature replacement. Alignment/interface requirements remain unresolved.,readiness_csv; item_yaml; candidate_item_yaml; recipe_stepper_motor_precision_v0,Keep EBF3 mounting leaf; later review as local machined bracket/interface.
1,ebf3_ball_nut_body_set,ebf3_ball_nuts,keep_ebf3_leaf,high,"Candidate ball_screw_assembly is a whole screw/nut assembly, while this row is one child of the EBF3 ball-nut package. Using it here would collapse precision child structure and double count other ball-nut children.",readiness_csv; item_yaml; candidate_item_yaml; recipe_ball_screw_assembly_v2,Keep EBF3 ball-nut child leaf; evaluate whole ball-nut/ball-screw substitution only at parent level.
1,ebf3_ball_nut_recirculation_insert_set,ebf3_ball_nuts,keep_ebf3_leaf,high,"Candidate ball_screw_assembly is a whole assembly, not a same-level recirculation insert. Precision geometry and wear path are hidden.",readiness_csv; item_yaml; candidate_item_yaml; recipe_ball_screw_assembly_v2,Keep EBF3 child leaf; later review precision recirculation insert route.
1,ebf3_ball_nut_rolling_ball_set,ebf3_ball_nuts,keep_ebf3_leaf,high,"Candidate ball_screw_assembly is a whole assembly, not a rolling-ball set. Ball grade, finish, hardness, and preload implications are hidden.",readiness_csv; item_yaml; candidate_item_yaml; recipe_ball_screw_assembly_v2,Keep EBF3 child leaf; later review bearing-ball/precision-ball route.
1,ebf3_ball_nut_wiper_or_seal_set,ebf3_ball_nuts,keep_ebf3_leaf,high,Candidate ball_screw_assembly is a whole assembly and does not expose the polymer wiper/seal material or geometry. Lubrication and dust exclusion behavior are closure-relevant.,readiness_csv; item_yaml; candidate_item_yaml; recipe_ball_screw_assembly_v2,Keep EBF3 seal leaf; later review polymer/elastomer route or import.
1,ebf3_beam_current_return_fastener_interface_set,ebf3_beam_current_return_strap,expand_but_flag,medium,"fastener_kit_medium is a plausible coarse fastener proxy with a recipe, but this EBF3 role is also an electrical contact/current-return interface; contact prep, isolation washers, and return topology are hidden.",readiness_csv; item_yaml; candidate_item_yaml; recipe_fastener_kit_medium_assembly_v0; hv_grounding_return_review,May use fastener_kit_medium only as sensitivity proxy for hardware mass; do not treat it as full current-return interface closure.
2,ebf3_beam_current_return_flexible_conductor,ebf3_beam_current_return_strap,expand_but_flag,medium,"electrical_wire_and_connectors has a recipe and is a plausible mass/process proxy, but this EBF3 leaf is a beam-current flexible conductor with routing, surface, insulation, and termination unresolved.",readiness_csv; item_yaml; candidate_item_yaml; recipe_electrical_wire_and_connectors_v0; hv_grounding_return_review,May use electrical_wire_and_connectors only as sensitivity proxy; do not treat as reliable current-return conductor closure.
2,ebf3_beam_current_return_lug_set,ebf3_beam_current_return_strap,keep_ebf3_leaf,medium,"No same-level existing KB candidate. Lug set is part of the beam-current return interface, so contact geometry, material, surface prep, and fastening remain closure-relevant.",readiness_csv; item_yaml; hv_grounding_return_review,Keep EBF3 leaf; later review as dedicated conductive lug/contact hardware.
2,ebf3_bias_supply_converter_board,ebf3_control_electrode_bias_supply,keep_ebf3_leaf,high,"Trusted EBF3 unreplaced converter board; no accepted replacement or recipe. Circuit topology, semiconductors, magnetics, insulation, and rating are hidden.",readiness_csv; item_yaml,Treat as EBF3 import/deferred electronics leaf unless the bias supply is decomposed.
2,ebf3_bias_supply_hv_output_filter,ebf3_control_electrode_bias_supply,keep_ebf3_leaf,high,"Trusted EBF3 unreplaced HV output filter; no accepted replacement or recipe. Dielectric, creepage, stored energy, and component import assumptions are hidden.",readiness_csv; item_yaml,Treat as EBF3 import/deferred HV electronics leaf unless decomposed.
2,ebf3_bias_supply_terminal_set,ebf3_control_electrode_bias_supply,keep_ebf3_leaf,high,Replacement register marks terminal_block_set as not enough accuracy for this biased/HV-adjacent terminal role. terminal_block_set is also import-encoded and too broad for creepage/voltage closure.,readiness_csv; item_yaml; replacement_register; candidate_item_yaml,Keep EBF3 terminal leaf; do not use terminal_block_set as reliable local or import closure for this role.
2,ebf3_cabin_access_door_hinge_set,ebf3_cabin_access_door,keep_ebf3_leaf,high,"Replacement register marks door_hinge_assembly as not enough accuracy. Vacuum-door load, seal compression, lubricant/material choice, and alignment preload are unresolved.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml; recipe_door_hinge_assembly_v0,Keep EBF3 hinge leaf; later review vacuum-compatible hinge route.
2,ebf3_cabin_access_door_latch_set,ebf3_cabin_access_door,keep_ebf3_leaf,high,"Replacement register marks panel_or_door_assembly as not enough accuracy. Latch topology and seal compression force are specific leaf behavior, not captured by a generic panel/door item.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml; recipe_panel_or_door_assembly_v0,Keep EBF3 latch leaf; later review clamp/latch hardware for vacuum door.
2,ebf3_cabin_access_door_panel,ebf3_cabin_access_door,keep_ebf3_leaf,high,"Replacement register marks panel_or_door_assembly as not enough accuracy for a vacuum cabin boundary. Panel stiffness, sealing interface, shielding role, and geometry remain unresolved.",readiness_csv; item_yaml; replacement_register; candidate_item_yaml; recipe_panel_or_door_assembly_v0,Keep EBF3 panel leaf; evaluate door-level substitution only if the full access-door boundary is reviewed.
2,ebf3_cabin_access_door_vacuum_seal,ebf3_cabin_access_door,expand_but_flag,medium,"vacuum_seal_assembly has a recipe and captures broad seal hardware, but EBF3 seal material, reusable versus metal gasket architecture, geometry, and leak rate are hidden.",readiness_csv; item_yaml; candidate_item_yaml; recipe_vacuum_seal_assembly_v0,May use vacuum_seal_assembly only as sensitivity proxy; do not treat as reliable access-door seal closure.
2,ebf3_cabin_frame_corner_gusset_set,ebf3_cabin_frame,expand_but_flag,medium,"structural_frame_small_v0 has a basic local steel-frame recipe, but this is a corner-gusset leaf with geometry, fastening method, vacuum-compatible finish, and stiffness interface unresolved.",readiness_csv; item_yaml; candidate_item_yaml; recipe_structural_frame_small_v0,May use structural_frame_small_v0 as coarse structural sensitivity proxy; keep flag for cabin-frame geometry and vacuum finish.
