item_id,parent_ids,name,current_mass_kg,mass_low_kg,mass_high_kg,unit,unit_kind,material_class,material_candidate,material_alternates,material_note,performance_checks,tolerance,surface_finish,sealing_quality,alignment_accuracy,existing_candidate,candidate_mass_kg,candidate_fit,candidate_note,suggested_decision,item_path
ebf3_adc_converter_board,ebf3_analog_input_adc_module,EBF3 adc converter board,0.4,0.16,1,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_adc_converter_board.yaml
ebf3_adc_module_connector_set,ebf3_analog_input_adc_module,EBF3 adc module connector set,0.1,0.033,0.3,unit,discrete,electronic,copper_alloy_contact,ceramic_or_polymer_body,Contact/body materials should be split if closure matters.,voltage/current/dielectric rating; circuit function/rating,,,,,connector_electrical_multi_pin,0.1,accuracy_risk,"Pin count, seal, and rating assumptions are hidden.",registered_not_enough_accuracy,kb/items/parts/ebf3_adc_module_connector_set.yaml
ebf3_adc_module_shield,ebf3_analog_input_adc_module,EBF3 adc module shield,0.1,0.04,0.25,unit,discrete,metal,steel,aluminum; refractory_foil,Radiation/HV shields may need refractory metal.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_adc_module_shield.yaml
ebf3_analog_input_protection_front_end,ebf3_analog_input_adc_module,EBF3 analog input protection front end,0.2,0.1,0.4,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,basic function/material/scale,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_analog_input_protection_front_end.yaml
ebf3_anti_wear_guide_holder,ebf3_anti_wear_guide,EBF3 anti wear guide holder,0.03,0.012,0.075,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_anti_wear_guide_holder.yaml
ebf3_anti_wear_guide_insert,ebf3_anti_wear_guide,EBF3 anti wear guide insert,0.07,0.028,0.175,unit,discrete,ceramic,alumina_ceramic,porcelain; fused_silica,Select dielectric/thermal grade before recipe work.,motion tolerance/load/lubrication,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_anti_wear_guide_insert.yaml
ebf3_aux_dc_converter_module_set,ebf3_auxiliary_low_voltage_dc_supply,EBF3 aux dc converter module set,2,0.8,5,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_aux_dc_converter_module_set.yaml
ebf3_aux_dc_filter_capacitor_set,ebf3_auxiliary_low_voltage_dc_supply,EBF3 aux dc filter capacitor set,0.8,0.32,2,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,circuit function/rating,,,,,capacitor_bank_filter,0.3,accuracy_risk,"Voltage, ripple current, and dielectric assumptions are hidden.",reuse_with_accuracy_risk,kb/items/parts/ebf3_aux_dc_filter_capacitor_set.yaml
ebf3_axis_home_sensor_body_set,ebf3_axis_home_sensors,EBF3 axis home sensor body set,0.14,0.056,0.35,unit,discrete,electronic,electronics_board_proxy,imported_electronics,Needs electronics readiness/import decision.,motion tolerance/load/lubrication; circuit function/rating,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,needs_decomposition_or_import_decision,kb/items/parts/ebf3_axis_home_sensor_body_set.yaml
ebf3_axis_home_sensor_target_set,ebf3_axis_home_sensors,EBF3 axis home sensor target set,0.08,0.032,0.2,unit,discrete,metal,steel,aluminum,Default to steel for structural closure; switch to aluminum if mass/thermal benefit matters.,motion tolerance/load/lubrication; circuit function/rating,review_required,review_required,,review_required,,,none,No same-level existing KB candidate found by rule.,create_leaf_choose_material,kb/items/parts/ebf3_axis_home_sensor_target_set.yaml
