batch_id,item_id,parent_ids,source_queue_type,mass_nominal_kg,route_material_basis,availability_class,route_decision,primary_process_id,secondary_process_ids,ready_machine_ids,blocked_machine_or_process_reason,critical_performance_requirements,simulation_import_mass_policy,confidence,flags,reasoning_brief
route_batch_01,ebf3_adc_module_shield,ebf3_analog_input_adc_module,existing_route_as_leaf,0.1,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,sheet_metal_cutting_v0,machining_basic_v0;electrical_assembly_basic_v0,labor_bot_general_v0;assembly_tools_basic;multi_axis_cnc_machining_center,,EMI shielding continuity; grounding path; creepage clearance near ADC inputs;solder/fastener compatibility,sensitivity_flag,medium,electronics;shielding;performance_flag,Small metal shield can be cut or machined locally but ADC noise and grounding performance need simulation flag.
route_batch_01,ebf3_axis_motor_housing_set,ebf3_axis_motors,existing_route_as_leaf,1,steel_stock,local_derived,lunar_candidate_flagged,motor_housing_casting_v0,machining_basic_v0;motor_final_assembly_v0,labor_bot_general_v0;induction_forge_v0;casting_mold_set;multi_axis_cnc_machining_center;assembly_tools_basic,,Bearing seat tolerance; motor concentricity; vacuum outgassing; lubricant compatibility,sensitivity_flag,medium,motion_precision;vacuum_compatibility,Housing fabrication is supported by Ready casting and CNC but motor alignment and vacuum service make it flagged.
route_batch_01,ebf3_ball_nut_recirculation_insert_set,ebf3_ball_nuts,existing_route_as_leaf,0.3,steel_bar_stock,local_derived,route_gap,ball_screw_fabrication_v0,assembly_process_bearing_v0,labor_bot_general_v0;assembly_tools_basic,ball_screw_fabrication_v0 requires precision_lathe which is not Ready; recirculation insert also lacks hardened ground race route,Ball recirculation geometry; hardened wear surface; preload; low vacuum lubricant contamination,import_until_gap_resolved,low,motion_precision;blocked_machine,This is a precision ball-nut function rather than an ordinary machined insert so first simulation should import until the precision route exists.
route_batch_01,ebf3_y_axis_ball_screw_shaft,ebf3_ball_screw_shafts,existing_route_as_leaf,1,steel_bar_stock,local_derived,route_gap,ball_screw_fabrication_v0,steel_shaft_machining_v1,labor_bot_general_v0;multi_axis_cnc_machining_center,ball_screw_fabrication_v0 requires precision_lathe which is not Ready; thread grinding and hardening route is not closed,Lead accuracy; straightness; surface finish; preload compatibility; vacuum lubricant compatibility,import_until_gap_resolved,low,motion_precision;blocked_machine,Y-axis screw shaft needs precision screw geometry beyond Ready CNC shaft machining.
route_batch_01,ebf3_beam_current_return_lug_set,ebf3_beam_current_return_strap,existing_route_as_leaf,0.12,aluminum_conductor,local_derived,lunar_candidate_flagged,machining_basic_v0,electrical_assembly_basic_v0,labor_bot_general_v0;assembly_tools_basic;multi_axis_cnc_machining_center,,Low resistance contact; thermal cycling; electron-beam return geometry; clean oxide-controlled mating faces,sensitivity_flag,medium,electron_beam;electrical_contact;material_fix:aluminum_conductor_for_current_return,"Beam-current return lug material changed from steel to aluminum conductor stock; local machining is plausible, but contact resistance and heating remain sensitivity flags."
route_batch_01,ebf3_cabin_access_door_hinge_fastener_interface_set,ebf3_cabin_access_door_hinge_set,implemented_split_child,0.7,steel_stock,local_derived,lunar_candidate_flagged,fastener_kit_small_fabrication_v0,machining_basic_v0;assembly_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,Hinge load margin; galling control; vacuum-compatible metal surfaces,sensitivity_flag,medium,vacuum_compatibility;performance_flag:vacuum_door_hinge,"Local steel fastener/interface hardware is plausible, but vacuum door hinge load, galling, and alignment make it a sensitivity item rather than clean local."
route_batch_01,ebf3_cabin_access_door_latch_handle_or_cam_set,ebf3_cabin_access_door_latch_set,implemented_split_child,0.6,steel_stock,local_derived,lunar_candidate_flagged,machining_basic_v0,assembly_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,Cam fit; handle strength; repeatable latch travel; vacuum-compatible finish,sensitivity_flag,medium,mechanical_latch;performance_flag:vacuum_door_latch,"The cam/handle is locally machinable, but latch travel and seal-compression repeatability make it a flagged local route."
route_batch_01,ebf3_cabin_frame_corner_gusset_set,ebf3_cabin_frame,existing_route_as_leaf,7,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,metal_fabrication_basic_v0,machining_basic_v0;assembly_basic_v0,labor_bot_general_v0;assembly_tools_basic;multi_axis_cnc_machining_center,,Cabin frame stiffness; bolt pattern accuracy; vacuum-clean finish; no hidden seal function,sensitivity_flag,medium,vacuum_structure;stiffness,Corner gussets are locally fabricable but cabin datum and vacuum-adjacent structure need a flagged route.
route_batch_01,ebf3_cabin_gun_port_reinforcement_ring,ebf3_cabin_gun_mounting_port,existing_route_as_leaf,3,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,machining_basic_v0,metal_fabrication_basic_v0;assembly_basic_v0,labor_bot_general_v0;assembly_tools_basic;multi_axis_cnc_machining_center,,Port flatness; bolt circle accuracy; vacuum seal support; electron-beam alignment stability,sensitivity_flag,medium,vacuum_interface;electron_beam,The ring can be machined locally but it supports a gun port and vacuum boundary.
route_batch_01,ebf3_cabin_positioning_leveling_pad_set,ebf3_cabin_positioning_mount_interface,existing_route_as_leaf,3,steel_stock,local_derived,lunar_candidate_flagged,machining_basic_v0,assembly_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,Load bearing; datum repeatability; leveling contact flatness; vacuum-clean surface,sensitivity_flag,medium,motion_alignment,Leveling pads are simple metal but influence positioning datums.
route_batch_01,ebf3_cabin_wire_feeder_port_reinforcement_ring,ebf3_cabin_wire_feeder_mounting_port,existing_route_as_leaf,4,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,machining_basic_v0,metal_fabrication_basic_v0;assembly_basic_v0,labor_bot_general_v0;assembly_tools_basic;multi_axis_cnc_machining_center,,Port stiffness; seal backing flatness; wire-feeder alignment; vacuum-clean finish,sensitivity_flag,medium,vacuum_interface;wire_feed_alignment,The reinforcement ring is machinable but belongs to a feedthrough port and needs vacuum and alignment marking.
