item_id,parent_ids,mass_nominal_kg,mass_low_kg,mass_high_kg,material_class,prior_disposition,decomposition_action,priority,reason,next_step
ebf3_adc_converter_board,ebf3_analog_input_adc_module,0.4,0.16,1,electronic,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_adc_module_connector_set,ebf3_analog_input_adc_module,0.1,0.033,0.3,electronic,keep_ebf3_leaf,import_as_leaf,medium,"Connector/terminal item is low-mass, mixed-material, and rating-sensitive; direct import avoids invented contact/body/dielectric manufacturing.",Count as Earth import for first run; split only for a later connector-specific study.
ebf3_adc_module_shield,ebf3_analog_input_adc_module,0.1,0.04,0.25,metal,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_analog_input_protection_front_end,ebf3_analog_input_adc_module,0.2,0.1,0.4,electronic,keep_ebf3_leaf,import_as_leaf,medium,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_anti_wear_guide_holder,ebf3_anti_wear_guide,0.03,0.012,0.075,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_anti_wear_guide_insert,ebf3_anti_wear_guide,0.07,0.028,0.175,ceramic,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_aux_dc_converter_module_set,ebf3_auxiliary_low_voltage_dc_supply,2,0.8,5,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_aux_dc_filter_capacitor_set,ebf3_auxiliary_low_voltage_dc_supply,0.8,0.32,2,electronic,expand_but_flag,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_axis_home_sensor_body_set,ebf3_axis_home_sensors,0.14,0.056,0.35,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_axis_home_sensor_target_set,ebf3_axis_home_sensors,0.08,0.032,0.2,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication; circuit function/rating.
ebf3_axis_limit_switch_actuator_set,ebf3_axis_travel_limit_switches,0.05,0.02,0.125,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_axis_limit_switch_body_set,ebf3_axis_travel_limit_switches,0.1,0.04,0.25,electronic,keep_ebf3_leaf,import_as_leaf,medium,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
ebf3_axis_motor_body_set,ebf3_axis_motors,3.2,1.28,8,electronic,keep_ebf3_leaf,import_as_leaf,high,Complex electronic/optical/electron-gun item with low-confidence local capability; splitting now would be a large research task for limited first-sim value.,Count as Earth import in first simulation; split only if this import mass dominates the result.
ebf3_axis_motor_housing_set,ebf3_axis_motors,1,0.4,2.5,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_axis_motor_mounting_feature_set,ebf3_axis_motors,1,0.4,2.5,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for motion tolerance/load/lubrication.
ebf3_ball_nut_body_set,ebf3_ball_nuts,1.1,0.55,2.2,metal,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_ball_nut_recirculation_insert_set,ebf3_ball_nuts,0.3,0.15,0.6,metal,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_ball_nut_rolling_ball_set,ebf3_ball_nuts,0.45,0.225,0.9,metal,keep_ebf3_leaf,route_as_leaf,medium,Simple material/function leaf; decomposition would add process detail but not change first-order import mass.,Route directly to KB material/process candidate.
ebf3_ball_nut_wiper_or_seal_set,ebf3_ball_nuts,0.15,0.0495,0.45,polymer,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for vacuum leak rate/outgassing.
ebf3_beam_current_return_fastener_interface_set,ebf3_beam_current_return_strap,0.06,0.0198,0.18,metal,expand_but_flag,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_beam_current_return_flexible_conductor,ebf3_beam_current_return_strap,0.32,0.1056,0.96,metal,expand_but_flag,route_as_leaf,medium,Already split to a material/function leaf; process routing should use mass bounds plus performance gates rather than further BOM decomposition.,Proceed to KB process route classification with performance gate.
ebf3_beam_current_return_lug_set,ebf3_beam_current_return_strap,0.12,0.0396,0.36,metal,keep_ebf3_leaf,route_as_leaf,medium,"Single-material/function leaf; no further BOM split needed before process routing, but performance gates must remain explicit.",Route to material/process candidate with performance gate for electron-beam geometry/thermal stability.
ebf3_bias_supply_converter_board,ebf3_control_electrode_bias_supply,1.1,0.44,2.75,electronic,keep_ebf3_leaf,import_as_leaf,high,Electronic/control item has no trusted lunar electronics process route; direct import is more honest than pseudo-decomposition.,Count as Earth import in conservative simulation.
