source_row_number,item,qty,cad_file,description_product_id,manufacturer,canonical_step_path,export_status,export_kind,source_object_name,source_object_label,parent_assembly,instance_count_found,alternate_step_paths,notes
2,1A1,1,1A1_back_plate,,,gold_export/parts/1A1_back_plate.step,matched_existing,part,Part__Feature155,1A1_back_plate,,1,,
3,1A2,1,1A2_flange_schlieren_imaging,,,gold_export/parts/1A2_flange_schlieren_imaging.step,matched_existing,part,Part__Feature156,1A2_flange_schlieren_imaging,,1,,
4,1A3,1,1A3_mounting_plate_flow_rectifier,SM2A53 Adapter: External,,gold_export/parts/1A3_mounting_plate_flow_rectifier.step,matched_existing,part,Part__Feature157,1A3_mounting_plate_flow_rectifier,,1,,
5,1A41,1,1A41_SM2A53-Step,"M52x0,75; Internal SM2 Threads",Thorlabs,gold_export/parts/1A41_SM2A53-Step.step,matched_existing,vendor_component,Part__Feature158,1A41_SM2A53-Step,,1,,
6,1A42,1,1A42_flange_schlieren_imaging,,,gold_export/parts/1A42_flange_schlieren_imaging.step,matched_existing,part,Part__Feature159,1A42_flange_schlieren_imaging,,1,,
7,1A51,1,1A51_seal,,Lisema,gold_export/parts/1A51_seal.step,matched_existing,vendor_component,Part__Feature160,1A51_seal,,1,,
8,1A52,1,1A52_cover,,,gold_export/parts/1A52_cover.step,matched_existing,part,Part__Feature161,1A52_cover,,1,,
9,1B1,1,1B1_door_plate,,,gold_export/parts/1B1_door_plate.step,matched_existing,part,Part__Feature162,1B1_door_plate,,1,,
10,1B2,1,1B2_handle,GN 328.5-140-B-GS,GanterNorm,gold_export/parts/1B2_handle.step,matched_existing,vendor_component,Part__Feature163,1B2_handle,,1,,
11,1B3,1,1B3_flange_schlieren_imaging,,,gold_export/parts/1B3_flange_schlieren_imaging.step,matched_existing,part,Part__Feature164,1B3_flange_schlieren_imaging,,1,,
12,1B41,1,1B41_glas,,Laservision,gold_export/parts/1B41_glas.step,matched_existing,vendor_component,Part__Feature165,1B41_glas,,1,,
13,1B42,2,1B42_seal,,Lisema,gold_export/parts/1B42_seal.step,matched_existing,vendor_component,Part__Feature166,1B42_seal,,1,,
14,1B43,1,1B43_frame,SM2A53 Adapter: External,,gold_export/parts/1B43_frame.step,matched_existing,part,Part__Feature168,1B43_frame,,1,,
15,1B51,1,1B51_SM2A53-Step,"M52x0,75; Internal SM2 Threads",Thorlabs,gold_export/parts/1B51_SM2A53-Step.step,matched_existing,vendor_component,Part__Feature169,1B51_SM2A53-Step,,1,,
