Item,Qty,CAD file,Description / Product ID,Manufacturer,Link URL,Subsystem (suggested),Material family,Specific material / grade,Notes,Page,Raw row text
1A1,1,1A1_back_plate,,,,,,,,2,1A1 1 1A1_back_plate
1A2,1,1A2_flange_schlieren_imaging,,,,,,,,2,1A2 1 1A2_flange_schlieren_imaging
1A3,1,1A3_mounting_plate_flow_rectifier,SM2A53 Adapter: External,,,,,,,2,1A3 1 1A3_mounting_plate_flow_rectifier SM2A53 Adapter: External
1A41,1,1A41_SM2A53-Step,"M52x0,75; Internal SM2 Threads",Thorlabs,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM2A53,,,,,2,"1A41 1 1A41_SM2A53-Step Thorlabs M52x0,75; Internal SM2 Threads"
1A42,1,1A42_flange_schlieren_imaging,,,,,,,,2,1A42 1 1A42_flange_schlieren_imaging
1A51,1,1A51_seal,,Lisema,https://www.lisema.eu/,,,,,2,1A51 1 1A51_seal Lisema
1A52,1,1A52_cover,,,,,,,,2,1A52 1 1A52_cover
1B1,1,1B1_door_plate,,,,,,,,2,1B1 1 1B1_door_plate
1B2,1,1B2_handle,GN 328.5-140-B-GS,GanterNorm,https://www.ganternorm.com/de/produkte/1.2-Bedienen-mit-Maschinen-und-Geraetegriffen/Buegelgriffe/GN-328.5-Edelstahl-Buegelgriffe#l1%3Dc(120)%3BForm%3Du(5e72aa81-7282-4de6-aa3f-99d6b8e98e5d)%3BOberfl%C3%A4che%3Du(5ac173de-c979-4e10-ab22-480f0ce07560),,,,,2,1B2 1 1B2_handle GN 328.5-140-B-GS GanterNorm
1B3,1,1B3_flange_schlieren_imaging,,,,,,,,2,1B3 1 1B3_flange_schlieren_imaging
1B41,1,1B41_glas,,Laservision,,,,,,2,1B41 1 1B41_glas Laservision
1B42,2,1B42_seal,,Lisema,https://www.lisema.eu/,,,,,2,1B42 2 1B42_seal Lisema
1B43,1,1B43_frame,SM2A53 Adapter: External,,,,,,,2,1B43 1 1B43_frame SM2A53 Adapter: External
