batch_id,item_id,parent_ids,source_queue_type,mass_nominal_kg,route_material_basis,availability_class,route_decision,primary_process_id,secondary_process_ids,ready_machine_ids,blocked_machine_or_process_reason,critical_performance_requirements,simulation_import_mass_policy,confidence,flags,reasoning_brief
route_batch_03,ebf3_anti_wear_guide_insert,ebf3_anti_wear_guide,existing_route_as_leaf,0.07,alumina_ceramic_v0,local_derived,route_gap,ceramic_sintering_process_v0,alumina_extraction_from_highlands_v0;ceramic_powder_synthesis_v0,labor_bot_general_v0;ball_mill_v0,ceramic_sintering_process_v0 requires kiln_ceramic which audit marks machine_audit_no_capabilities; Ready route does not prove wear-grade fired alumina.,"Wear insert must meet sliding wear rate, compressive load, dimensional tolerance, low dust generation, and dry/vacuum-compatible friction.",import_until_gap_resolved,medium,motion_wear;ceramic_sintering_blocked,"Alumina is a preferred lunar-derived ceramic, but this leaf needs a fired wear-grade insert; KB has material/process direction but the sintering machine is not Ready."
route_batch_03,ebf3_axis_limit_switch_actuator_set,ebf3_axis_travel_limit_switches,existing_route_as_leaf,0.05,steel,local_derived,lunar_candidate,machining_basic_v0,inspection_basic_v0,multi_axis_cnc_machining_center;labor_bot_general_v0,,"Limit switch actuator must hold switch trip position, survive repeated contact, and maintain travel-limit geometry under vibration.",local_nominal,medium,motion_interface,Small steel actuator hardware can be approximated by Ready CNC machining and inspection; performance is ordinary mechanical contact rather than high precision.
route_batch_03,ebf3_ball_nut_wiper_or_seal_set,ebf3_ball_nuts,existing_route_as_leaf,0.15,silicone_rubber_or_vacuum_polymer,import_or_recycle,earth_import,,,,Silicone/elastomer chemistry depends on scarce C/H/S feedstocks and no Ready vacuum-compatible seal material route is proven.,"Ball-nut wiper/seal must meet vacuum outgassing, lubricant compatibility, particle exclusion, lifetime, and low friction drag.",import_nominal,high,vacuum_seal;polymer;precision_motion,Precision ball-nut sealing is a small but critical polymer/vacuum item; count it as Earth import for first simulation rather than hiding it in ball_screw_assembly.
route_batch_03,ebf3_beam_current_return_fastener_interface_set,ebf3_beam_current_return_strap,existing_route_as_leaf,0.06,steel_fastener_interface,local_derived,lunar_candidate_flagged,fastener_kit_small_fabrication_v0,assembly_basic_v0;inspection_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,"Interface must maintain low contact resistance, beam return current path continuity, thermal stability, and no loosening near electron-beam hardware.",sensitivity_flag,medium,current_return;electron_beam_interface,"Generic steel fastener production is Ready-machine supported, but this interface is not just mechanical fastening; current return and thermal contact need simulation flags."
route_batch_03,ebf3_cabin_access_door_vacuum_seal,ebf3_cabin_access_door,existing_route_as_leaf,2,metal_gasket_or_imported_vacuum_elastomer,import_or_recycle,defer_import_fallback,vacuum_seal_assembly_fabrication_v0,leak_test_v0,labor_bot_general_v0;assembly_tools_basic,vacuum_seal_assembly_fabrication_v0 is Ready for assembly only; upstream sealing_gaskets material and verified leak-test equipment are not proven Ready.,"Door seal must meet cabin/chamber leak rate, compression-set or metal-gasket springback, outgassing, dust tolerance, and repeated-open lifetime.",import_until_gap_resolved,medium,vacuum_seal;large_seal;material_gap,"A metal seal route may become lunar, but the first simulation should import this 2 kg leak-critical seal until gasket material and verification are explicit."
route_batch_03,ebf3_cabin_access_door_hinge_pin_or_shaft_set,ebf3_cabin_access_door_hinge_set,implemented_split_child,0.4,steel,local_derived,lunar_candidate,machining_basic_v0,inspection_basic_v0,multi_axis_cnc_machining_center;labor_bot_general_v0,,"Hinge pin must carry door load, resist galling in vacuum, and maintain hinge alignment through repeated cycles.",local_nominal,medium,motion_interface,A steel hinge pin or shaft is compatible with Ready CNC machining; lubrication/galling should be noted but does not force import.
route_batch_03,ebf3_cabin_access_door_latch_return_spring_set,ebf3_cabin_access_door_latch_set,implemented_split_child,0.2,spring_steel,local_derived,route_gap,heat_treat_basic_v0,machining_basic_v0;inspection_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center,"Spring function requires heat_treat_basic_v0, but heat_treatment_furnace_v0 is machine_audit_no_capabilities.","Return spring must meet elastic range, fatigue life, latch force, vacuum/galling compatibility, and thermal cycling.",import_until_gap_resolved,medium,spring;heat_treat_blocked;motion_interface,"The mass is modest and steel is lunar-plausible, but spring temper/fatigue capability is not Ready; keep as a manufacturing gap."
route_batch_03,ebf3_cabin_frame_mounting_foot_set,ebf3_cabin_frame,existing_route_as_leaf,4,steel_structural_stock,local_derived,lunar_candidate_flagged,frame_fabrication_from_raw_metal_v0,machining_basic_v0;inspection_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center,,"Mounting feet must preserve cabin frame stiffness, flatness, bolt-hole alignment, and vacuum-compatible exposed materials.",sensitivity_flag,medium,structural_stiffness;vacuum_exposed,"Steel structural feet can be routed through Ready basic fabrication and CNC, but interface flatness and frame scaling should be flagged."
route_batch_03,ebf3_cabin_lighting_shield_mount,ebf3_cabin_lighting_mount_and_port,existing_route_as_leaf,12.08,steel,local_derived,lunar_candidate_flagged,frame_fabrication_from_raw_metal_v0,machining_basic_v0;inspection_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center,,"Shield mount must maintain stiffness, alignment, thermal stability, and low-outgassing exposed surfaces in vacuum.",sensitivity_flag,medium,large_mount;vacuum_exposed;stiffness,"This is large simple metal hardware and suitable for local steel routing, with stiffness and vacuum exposure tracked as simulation assumptions."
route_batch_03,ebf3_cabin_wall_stiffener_set,ebf3_cabin_wall_panels,existing_route_as_leaf,8,steel,local_derived,lunar_candidate,frame_fabrication_from_raw_metal_v0,machining_basic_v0;inspection_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center,,"Wall stiffeners must provide panel stiffness, fastener alignment, and vacuum-compatible exposed surfaces.",local_nominal,medium,structural,Simple steel stiffeners have a reasonable local route using Ready basic fabrication plus CNC finishing.
route_batch_03,ebf3_heater_supply_enclosure,ebf3_cathode_heater_supply,existing_route_as_leaf,0.6,steel,local_derived,lunar_candidate,machining_basic_v0,assembly_basic_v0;inspection_basic_v0,multi_axis_cnc_machining_center;labor_bot_general_v0;assembly_tools_basic,,"Electrical enclosure must provide mounting, grounding continuity, thermal clearance, and adequate creepage/clearance for heater supply voltage.",local_nominal,medium,electrical_enclosure,A small metal enclosure can be approximated by Ready CNC/assembly; detailed sheet-metal route remains crude but adequate for nominal local mass.
route_batch_03,ebf3_dc_link_mounting_frame,ebf3_dc_link_capacitor_bank,existing_route_as_leaf,0.7,steel_structural_stock,local_derived,lunar_candidate_flagged,frame_fabrication_from_raw_metal_v0,machining_basic_v0;inspection_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center,,"DC-link frame must preserve capacitor support, vibration restraint, grounding, creepage/clearance, and service access.",sensitivity_flag,medium,power_electronics_mount;stiffness,"Local steel frame routing is plausible, but capacitor-bank mounting has electrical clearance and vibration assumptions that should be flagged."
