item_id,policy,new_material,baseline_process,current_process,recheck_reason,decision,kb_changed_this_turn,review_note
ebf3_anti_wear_guide_holder,sensitivity_flag,steel,steel_shaft_machining_v0,machining_basic_v0,local_specific_or_generic_process_check,reroute_existing_process,true,Holder geometry is not shaft-specific; high-function CNC is the better existing route. Wear/alignment remain sensitivity flags.
ebf3_axis_motor_housing_set,local_nominal,steel,motor_housing_casting_v0,motor_housing_casting_v0,local_specific_or_generic_process_check,keep_current_route,false,"Motor housing casting remains plausible for first-pass local accounting; material label should be read as iron/steel casting family, with final machining/fit as downstream requirement."
ebf3_ball_nut_body_set,import_until_gap_resolved,bearing_steel,ball_screw_fabrication_v0,ball_screw_fabrication_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_ball_nut_rolling_ball_set,import_until_gap_resolved,bearing_steel,bearing_set_heavy_production_v0,bearing_set_heavy_production_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_cabin_access_door_hinge_bushing_or_bearing_set,import_until_gap_resolved,bearing_steel,machining_basic_v0,machining_basic_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_cabin_access_door_latch_pivot_axle_set,sensitivity_flag,steel,steel_shaft_machining_v0,steel_shaft_machining_v0,local_specific_or_generic_process_check,keep_current_route,false,Material specificity does not change first-pass route.
ebf3_cabin_frame_corner_gusset_set,sensitivity_flag,steel,metal_fabrication_basic_v0,sheet_metal_fabrication_v0,local_specific_or_generic_process_check,reroute_existing_process,true,Corner gussets are sheet-metal/plate fabrication with hole and edge finishing; cabin stiffness and datum accuracy remain sensitivity flags.
ebf3_can_bus_interface_shield,local_nominal,aluminum,sheet_metal_cutting_v0,sheet_metal_fabrication_v0,aluminum_sheet_process_check,reroute_existing_process,true,Aluminum electronics shield can use existing sheet-metal fabrication; grounding and EMI effectiveness remain verification requirements.
ebf3_ebf_wire_guide_tip_body,import_until_gap_resolved,hardened_steel,steel_shaft_machining_v0,steel_shaft_machining_v0,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
ebf3_emi_filter_enclosure,local_nominal,steel,enclosure_assembly_basic_v0,sheet_metal_fabrication_v0,local_specific_or_generic_process_check,reroute_existing_process,true,"EMI enclosure is sheet-metal fabrication, not electrical enclosure assembly alone; EMI continuity/grounding remain verification requirements."
ebf3_fixed_side_screw_bearing_retainer_set,sensitivity_flag,steel,steel_shaft_machining_v0,machining_basic_v0,local_specific_or_generic_process_check,reroute_existing_process,true,"Bearing retainer/cap geometry is not a shaft; CNC machining covers the geometry, while preload/runout remain sensitivity flags."
ebf3_gun_cathode_locating_clamp,import_nominal,refractory_metal,,none,special_material,import_policy_retained,false,"Keep import/route-gap policy because unresolved issue is material grade, heat treatment, magnetic/ceramic QA, or purchased precision assembly rather than basic geometry."
