batch_id,item_id,current_decision,current_policy,current_material,current_process,audit_verdict,proposed_decision,proposed_policy,severity,issue_type,reasoning,recommended_edit,integration_decision,integration_note
route_batch_01,ebf3_adc_module_shield,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_sheet,sheet_metal_cutting_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Sheet metal route is plausible and electronics shielding risk is explicitly flagged,Keep as flagged local sensitivity case,not_applicable,audit verdict keep
route_batch_01,ebf3_axis_motor_housing_set,lunar_candidate_flagged,sensitivity_flag,steel_stock,motor_housing_casting_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Ready casting and CNC cover housing geometry while bearing and vacuum motor risks are flagged,Keep flagged rather than clean local,not_applicable,audit verdict keep
route_batch_01,ebf3_ball_nut_recirculation_insert_set,route_gap,import_until_gap_resolved,steel_bar_stock,ball_screw_fabrication_v0,keep,route_gap,import_until_gap_resolved,ok,ok,Precision ball return geometry and hardened race closure are absent,Keep route_gap and import until precision screw route closes,not_applicable,audit verdict keep
route_batch_01,ebf3_beam_current_return_lug_set,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_sheet,machining_basic_v0,change,lunar_candidate_flagged,sensitivity_flag,material,wrong_material,Steel is locally easy but the beam-current return lug is conductivity and contact-heating limited,Change selected material to aluminum conductor stock if acceptable or route_gap if copper or plated contacts are required,applied,accepted in process_route_review; see updated decision/material/process/flags
route_batch_01,ebf3_cabin_access_door_hinge_fastener_interface_set,lunar_candidate_flagged,sensitivity_flag,steel_stock,fastener_kit_small_fabrication_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Local steel interface hardware is plausible and hinge vacuum galling risk is flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_cabin_access_door_latch_handle_or_cam_set,lunar_candidate_flagged,sensitivity_flag,steel_stock,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,The part is machinable metal but latch travel and seal compression are correctly flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_cabin_frame_corner_gusset_set,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_sheet,metal_fabrication_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Structural gusset fabrication is local-feasible while vacuum-adjacent stiffness risks are flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_cabin_gun_port_reinforcement_ring,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_sheet,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,The ring body is machinable but supports a vacuum gun port and beam alignment,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_cabin_positioning_leveling_pad_set,lunar_candidate_flagged,sensitivity_flag,steel_stock,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Simple steel pad fabrication is plausible and datum repeatability is marked,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_cabin_wire_feeder_port_reinforcement_ring,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_sheet,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Local ring machining is plausible and feedthrough port seal backing risk is flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_controls_cabinet_mounting_rail_set,lunar_candidate,local_nominal,steel_plate_or_sheet,sheet_metal_cutting_v0,keep,lunar_candidate,local_nominal,ok,ok,This is ordinary cabinet mounting metalwork with only low-risk fit requirements,Keep clean lunar_candidate,not_applicable,audit verdict keep
route_batch_01,ebf3_drive_roll_cover_shell,lunar_candidate,local_nominal,steel_plate_or_sheet,sheet_metal_cutting_v0,keep,lunar_candidate,local_nominal,ok,ok,Guard cover shell is ordinary sheet metal and not a performance-critical motion element,Keep clean lunar_candidate,not_applicable,audit verdict keep
route_batch_01,ebf3_emi_filter_choke_terminal_set,lunar_candidate_flagged,sensitivity_flag,aluminum_wire,electrical_wire_and_connectors_production_v0,change,lunar_candidate_flagged,sensitivity_flag,minor,wrong_process,The selected aluminum terminal concept does not match the current process which consumes copper magnet wire and generic cut wires,Replace process with aluminum terminal machining or stamping while keeping sensitivity_flag for contact heating,applied,accepted in process_route_review; see updated decision/material/process/flags
route_batch_01,ebf3_emi_filter_enclosure,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_sheet,enclosure_assembly_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Enclosure fabrication is simple but EMI and grounding performance are correctly flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_fixed_side_screw_bearing_block_body_set,lunar_candidate_flagged,sensitivity_flag,steel_stock,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Bearing block body can be locally machined but bearing-seat precision remains flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_gun_anode,earth_import,import_nominal,molybdenum_metal,import_receiving_basic_v0,keep,earth_import,import_nominal,ok,ok,Precision refractory electron-gun anode is appropriately direct import,Keep earth_import,not_applicable,audit verdict keep
route_batch_01,ebf3_gun_beam_boundary_pickup_insulator,lunar_candidate_flagged,sensitivity_flag,alumina_ceramic_v0,ceramic_base_fabrication_v0,change,route_gap,import_until_gap_resolved,material,overoptimistic_flagged,Local alumina availability does not close HV leakage and electron-beam charging qualification for an active beam-boundary insulator,Change to route_gap until HV vacuum dielectric test route is modeled,applied,accepted in process_route_review; see updated decision/material/process/flags
route_batch_01,ebf3_gun_cathode_radiation_shield_foil_stack,earth_import,import_nominal,molybdenum_metal,import_receiving_basic_v0,keep,earth_import,import_nominal,ok,ok,Specialty molybdenum foil stack is correctly import-first,Keep earth_import,not_applicable,audit verdict keep
route_batch_01,ebf3_gun_column_internal_support_frame,lunar_candidate_flagged,sensitivity_flag,steel_stock,metal_fabrication_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Structural frame fabrication is plausible while beamline alignment and magnetic disturbance are flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_gun_dynamic_lens_yoke,lunar_candidate_flagged,sensitivity_flag,electrical_steel_sheet,electrical_steel_production_v0,change,route_gap,import_until_gap_resolved,material,overoptimistic_flagged,Electrical steel production supports feedstock but not magnetic lens yoke permeability geometry hysteresis and active beam performance,Change to route_gap until magnetic yoke finishing and qualification route exists,applied,accepted in process_route_review; see updated decision/material/process/flags
route_batch_01,ebf3_gun_hv_input_flange_housing,lunar_candidate_flagged,sensitivity_flag,steel_stock,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Flange housing body is machinable and HV vacuum interface risk is explicit,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_gun_hv_insulator_mounting_collar_set,lunar_candidate_flagged,sensitivity_flag,alumina_ceramic_v0,ceramic_base_fabrication_v0,change,route_gap,import_until_gap_resolved,material,overoptimistic_flagged,Generic ceramic fabrication does not close HV dielectric clearance beamline alignment and thermal mismatch qualification,Keep as import_until_gap_resolved until ceramic collar dielectric and alignment qualification is modeled,applied,accepted in process_route_review; see updated decision/material/process/flags
route_batch_01,ebf3_gun_secondary_electron_ring_collector,lunar_candidate_flagged,sensitivity_flag,steel_plate_or_sheet,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Conductive ring geometry is locally machinable and beam collector performance is flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_gun_trajectory_corrector_mount,lunar_candidate_flagged,sensitivity_flag,steel_stock,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Mount is simple metal but trajectory alignment and magnetic cleanliness are flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_hv_cable_outer_jacket,earth_import,import_nominal,silicone_rubber,import_receiving_basic_v0,keep,earth_import,import_nominal,ok,ok,Vacuum-rated HV cable insulation is specialty polymer qualification,Keep earth_import,not_applicable,audit verdict keep
route_batch_01,ebf3_hv_drain_valve,defer_import_fallback,import_until_gap_resolved,steel_stock,pressure_control_valve_assembly_v0,keep,defer_import_fallback,import_until_gap_resolved,ok,ok,Valve seals and oil cleanliness dominate and first-version import fallback is appropriate,Keep defer_import_fallback,not_applicable,audit verdict keep
route_batch_01,ebf3_hv_pressure_relief_valve_body,lunar_candidate_flagged,sensitivity_flag,steel_stock,pressure_control_valve_assembly_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Body fabrication can be local while relief setpoint and seal details remain flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_hv_transformer_insulating_fluid,earth_import,import_nominal,silicone_rubber,import_receiving_basic_v0,keep,earth_import,import_nominal,ok,ok,HV insulating fluid depends on qualified polymer or oil chemistry and should be imported,Keep earth_import,not_applicable,audit verdict keep
route_batch_01,ebf3_hv_transformer_magnetic_core_set,route_gap,import_until_gap_resolved,electrical_steel_sheet,electrical_steel_production_v0,keep,route_gap,import_until_gap_resolved,ok,ok,Transformer core lamination insulation anneal and core-loss qualification remain missing,Keep route_gap,not_applicable,audit verdict keep
route_batch_01,ebf3_hv_transformer_section_support_structure,route_gap,import_until_gap_resolved,alumina_ceramic_v0,ceramic_base_fabrication_v0,keep,route_gap,import_until_gap_resolved,ok,ok,HV oil-immersed dielectric support qualification is not closed by alumina material route,Keep route_gap,not_applicable,audit verdict keep
route_batch_01,ebf3_hv_voltage_divider_insulating_support,lunar_candidate_flagged,sensitivity_flag,alumina_ceramic_v0,ceramic_base_fabrication_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Alumina support is plausible as a sensitivity case and HV divider leakage is flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_intermediate_wire_guide_body,lunar_candidate_flagged,sensitivity_flag,steel_stock,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Guide body is machinable but wear debris and bore finish risks are explicit,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_linear_guide_carriage_block_set,route_gap,import_until_gap_resolved,steel_stock,machining_basic_v0,keep,route_gap,import_until_gap_resolved,ok,ok,Carriage race finish preload and guideway hardness are unresolved precision-motion gaps,Keep route_gap,not_applicable,audit verdict keep
route_batch_01,ebf3_linear_guide_rail_end_stop_set,lunar_candidate_flagged,sensitivity_flag,steel_stock,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,End stop is simple metal but interface with precision guide travel is flagged,Keep flagged local route,not_applicable,audit verdict keep
route_batch_01,ebf3_matching_network_busbar_set,lunar_candidate_flagged,sensitivity_flag,aluminum_alloy_ingot,machining_basic_v0,keep,lunar_candidate_flagged,sensitivity_flag,ok,ok,Aluminum busbar is plausible locally and current thermal HV clearance risks are flagged,Keep flagged local route,not_applicable,audit verdict keep
