item_id,parent_ids,source_queue_type,mass_nominal_kg,route_material_basis,availability_class,route_decision,primary_process_id,secondary_process_ids,ready_machine_ids,blocked_machine_or_process_reason,critical_performance_requirements,simulation_import_mass_policy,confidence,flags,reasoning_brief
ebf3_aux_dc_distribution_terminal_set,ebf3_auxiliary_low_voltage_dc_supply,reachable_leaf_backfill_after_bom_recipe_sync,0.7,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Auxiliary DC terminal distribution hardware is mixed conductor/insulator electrical hardware and rating-sensitive.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Auxiliary DC terminal distribution hardware is mixed conductor/insulator electrical hardware and rating-sensitive.
ebf3_axis_home_sensor_lead_set,ebf3_axis_home_sensors,reachable_leaf_backfill_after_bom_recipe_sync,0.08,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Axis home sensor lead set is signal cabling with connector/insulation requirements not closed locally.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Axis home sensor lead set is signal cabling with connector/insulation requirements not closed locally.
ebf3_axis_limit_switch_lead_set,ebf3_axis_travel_limit_switches,reachable_leaf_backfill_after_bom_recipe_sync,0.05,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Axis limit switch lead set is signal cabling with connector/insulation requirements not closed locally.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Axis limit switch lead set is signal cabling with connector/insulation requirements not closed locally.
ebf3_axis_motor_lead_set,ebf3_axis_motors,reachable_leaf_backfill_after_bom_recipe_sync,0.8,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Motor lead set is a vacuum/motion cable harness; insulation and termination qualification are not locally closed.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Motor lead set is a vacuum/motion cable harness; insulation and termination qualification are not locally closed.
ebf3_cabin_sacrificial_liner_panel_set,ebf3_cabin_sacrificial_liner,reachable_leaf_backfill_after_bom_recipe_sync,10,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,sheet_metal_cutting_v0,sheet_metal_fabrication_v0;machining_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,spatter resistance; replaceable liner geometry; vacuum-exposed surface cleanliness; thermal distortion tolerance,sensitivity_flag,medium,spatter;vacuum_exposed;material_geometry_unresolved,"Sacrificial liner panels are plausibly sheet-metal local parts, but material and process-zone exposure should remain sensitivity flags."
ebf3_controls_cabinet_cable_duct_set,ebf3_controls_cabinet,reachable_leaf_backfill_after_bom_recipe_sync,0.7,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Cable duct item is modeled as polymer; local polymer extrusion/material closure is not established for this first simulation.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Cable duct item is modeled as polymer; local polymer extrusion/material closure is not established for this first simulation.
ebf3_controls_cabinet_door_and_latch,ebf3_controls_cabinet,reachable_leaf_backfill_after_bom_recipe_sync,0.69,steel_plate_or_sheet,local_derived,lunar_candidate_flagged,sheet_metal_cutting_v0,machining_basic_v0;assembly_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,cabinet fit; latch reliability; grounding/EMI continuity; service access,sensitivity_flag,medium,electrical_enclosure;latch;emi,"Controls cabinet door/latch is locally fabricable sheet/metal hardware, but cabinet EMI and service-fit details remain flagged."
ebf3_controls_cabinet_panel_terminal_set,ebf3_controls_cabinet,reachable_leaf_backfill_after_bom_recipe_sync,1,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,"Mixed terminal blocks combine conductive contacts, insulators, plating, and rating-sensitive geometry; import is more honest than pseudo-local closure.",electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,"Mixed terminal blocks combine conductive contacts, insulators, plating, and rating-sensitive geometry; import is more honest than pseudo-local closure."
ebf3_disconnect_switch_housing,ebf3_main_disconnect_switch,reachable_leaf_backfill_after_bom_recipe_sync,0.6,steel_or_aluminum_housing,local_derived,lunar_candidate_flagged,machining_basic_v0,sheet_metal_cutting_v0;assembly_basic_v0,labor_bot_general_v0;multi_axis_cnc_machining_center;assembly_tools_basic,,switch clearance; mechanical protection; arc/thermal environment; mounting fit,sensitivity_flag,medium,electrical_enclosure;switch_safety,"Housing can be machined or sheet-fabricated, but disconnect safety and electrical clearance stay flagged."
ebf3_disconnect_switch_terminal_set,ebf3_main_disconnect_switch,reachable_leaf_backfill_after_bom_recipe_sync,0.3,mixed_electrical_or_polymer_harness,earth_import,earth_import,import_receiving_basic_v0,,labor_bot_general_v0,Disconnect switch terminals include contact/termination geometry and electrical safety ratings.,electrical rating; insulation/outgassing; connector fit; termination reliability,import_nominal,medium,electrical;connector_or_cable;earth_import,Disconnect switch terminals include contact/termination geometry and electrical safety ratings.
